agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
236,236,6,9,5238,5356,932.55,937.40,4.85,1,1,10.00,1,10,2.75,
237,237,3,2,11159,11123,932.55,935.50,2.95,1,1,10.00,1,15,2.02,
238,238,37,34,1349,1320,932.55,934.00,1.45,1,1,10.00,1,0,0.48,
239,239,2,3,11123,11159,932.55,935.50,2.95,1,1,10.00,1,10,2.02,
240,240,21,15,6253,4899,932.56,942.10,9.54,1,1,10.00,1,10,4.37,
241,241,5,39,11282,1404,932.58,938.40,5.82,1,1,10.00,1,15,2.89,
242,242,5,41,11282,5578,932.58,940.10,7.52,1,1,10.00,1,0,4.97,
243,243,37,11,1349,5119,932.58,936.90,4.32,1,1,10.00,1,0,2.09,
244,244,3,13,11159,5034,932.59,938.20,5.61,1,1,10.00,1,10,3.30,
245,245,41,34,5578,1320,932.61,935.40,2.79,1,1,10.00,1,5,1.81,
246,246,1,13,5577,5034,932.61,937.40,4.79,1,1,10.00,1,0,2.85,
247,247,1,34,5577,1320,932.61,935.20,2.59,1,1,10.00,1,0,1.56,
248,248,18,14,1286,5037,932.61,937.20,4.59,1,1,10.00,1,10,2.32,
249,249,11,34,5119,1320,932.61,936.60,3.99,1,1,10.00,1,15,2.06,
250,250,37,41,1353,5578,932.61,937.90,5.29,1,1,10.00,1,0,3.45,
251,251,13,41,5034,5578,932.61,937.80,5.19,1,1,10.00,1,0,3.10,
252,252,11,13,5119,5034,932.61,937.60,4.99,1,1,10.00,1,0,2.30,
253,253,3,34,11159,1320,932.61,933.70,1.09,1,1,10.00,1,0,0.59,
254,254,17,11,1289,5119,932.63,940.50,7.87,1,1,10.00,1,15,3.52,
255,255,19,10,1352,5929,932.64,938.10,5.46,1,1,10.00,1,15,2.31,
256,256,2,11,11123,5119,932.65,939.50,6.85,1,1,10.00,1,5,3.84,
257,257,1,24,5577,1325,932.65,940.80,8.15,1,1,10.00,1,5,4.00,
258,258,17,41,1289,5578,932.65,934.80,2.15,1,1,10.00,1,15,1.21,
259,259,3,11,11159,5119,932.65,937.00,4.35,1,1,10.00,1,5,2.34,
260,260,10,20,5929,1357,932.65,936.80,4.15,1,1,10.00,1,5,1.74,
261,261,3,41,11159,5578,932.67,937.30,4.63,1,1,10.00,1,0,3.20,
262,262,12,24,11151,1325,932.67,936.10,3.43,1,1,10.00,1,5,1.44,
263,263,1,11,5577,5119,932.67,940.70,8.03,1,1,10.00,1,10,4.77,
264,264,12,9,11151,5356,932.67,939.20,6.53,1,1,10.00,1,5,2.95,
265,265,2,41,11123,5578,932.67,935.20,2.53,1,1,10.00,1,15,1.70,
266,266,13,11,5034,5119,932.67,937.60,4.93,1,1,10.00,1,0,2.30,
267,267,1,9,5577,5356,932.67,943.30,10.63,1,1,10.00,1,15,5.79,
268,268,41,13,5578,5034,932.67,937.80,5.13,1,1,10.00,1,0,3.10,
269,269,7,34,11281,1322,932.67,938.00,5.33,1,1,10.00,1,10,3.03,
270,270,7,13,11281,5034,932.67,943.00,10.33,1,1,10.00,1,0,5.85,
271,271,7,33,11281,1351,932.68,935.90,3.22,1,1,10.00,1,0,1.60,
272,272,1,41,5577,5578,932.68,933.90,1.22,1,1,10.00,1,10,0.62,
273,273,41,11,5578,5119,932.70,941.20,8.50,1,1,10.00,1,5,5.03,
274,274,16,28,11827,1359,932.71,941.20,8.49,1,1,10.00,1,15,3.98,
275,275,27,13,1348,5034,932.73,939.20,6.47,1,1,10.00,1,0,3.65,
276,276,11,41,5119,5578,932.73,940.70,7.97,1,1,10.00,1,10,5.03,
277,277,7,11,11281,5119,932.73,939.70,6.97,1,1,10.00,1,5,3.38,
278,278,6,3,5238,11159,932.73,936.90,4.17,1,1,10.00,1,10,2.65,
279,279,3,27,11159,1348,932.73,934.30,1.57,1,1,10.00,1,15,0.76,
280,280,3,6,11159,5238,932.73,936.90,4.17,1,1,10.00,1,15,2.65,
281,281,25,26,1355,1323,932.73,934.30,1.57,1,1,10.00,1,5,0.53,
282,282,7,41,11281,5578,932.76,941.90,9.14,1,1,10.00,1,15,5.64,
283,283,1,37,5577,1353,932.79,937.90,5.11,1,1,10.00,1,15,3.19,
284,284,28,24,1359,1325,932.79,935.60,2.81,1,1,10.00,1,15,1.26,
285,285,17,14,1289,5037,932.79,937.10,4.31,1,1,10.00,1,10,2.21,
286,286,27,34,1348,1322,932.79,934.60,1.81,1,1,10.00,1,15,0.83,
287,287,1,15,5577,4899,932.79,936.40,3.61,1,1,10.00,1,5,2.08,
288,288,1,28,5577,1359,932.79,941.30,8.51,1,1,10.00,1,10,4.78,
289,289,17,31,1289,8116,932.79,935.60,2.81,1,1,10.00,1,0,1.29,
290,290,2,31,11123,8116,932.79,934.40,1.61,1,1,10.00,1,5,0.79,
291,291,3,14,11159,5037,932.82,939.50,6.68,1,1,10.00,1,0,3.93,
292,292,3,31,11159,8116,932.82,934.20,1.38,1,1,10.00,1,0,0.71,
293,293,32,34,1285,1322,932.86,935.00,2.14,1,1,10.00,1,15,1.11,
294,294,27,41,1348,5578,932.86,938.20,5.34,1,1,10.00,1,5,3.44,
295,295,2,14,11123,5037,932.86,937.80,4.94,1,1,10.00,1,10,2.82,
296,296,14,9,5037,5356,932.86,941.80,8.94,1,1,10.00,1,0,4.16,
297,297,28,9,1359,5356,932.86,935.30,2.44,1,1,10.00,1,10,1.03,
298,298,14,24,5037,1325,932.86,938.70,5.84,1,1,10.00,1,5,2.65,
299,299,18,21,1286,6253,932.86,945.20,12.34,1,1,10.00,1,15,6.85,
300,300,1,17,5577,1289,932.86,934.80,1.94,1,1,10.00,1,5,0.96,
301,301,32,13,1285,5034,932.86,937.60,4.74,1,1,10.00,1,0,2.67,
302,302,9,14,5356,5037,932.86,941.30,8.44,1,1,10.00,1,0,4.03,
303,303,27,11,1346,5119,932.86,937.70,4.84,1,1,10.00,1,10,2.58,
304,304,32,39,1285,1404,932.86,942.20,9.34,1,1,10.00,1,0,5.05,
305,305,6,11,5238,5119,932.88,941.20,8.32,1,1,10.00,1,5,4.07,
306,306,6,41,5238,5578,932.90,940.80,7.90,1,1,10.00,1,5,5.34,
307,307,32,11,1285,5119,932.93,940.70,7.77,1,1,10.00,1,15,4.32,
308,308,17,22,1289,3689,932.93,942.80,9.87,1,1,10.00,1,0,5.37,
309,309,1,18,5577,1286,932.93,935.00,2.07,1,1,10.00,1,5,0.90,
310,310,17,16,1289,11827,932.93,934.70,1.77,1,1,10.00,1,5,0.82,
311,311,3,24,11159,1325,932.93,938.30,5.37,1,1,10.00,1,15,2.63,
312,312,17,19,1289,1352,932.93,939.40,6.47,1,1,10.00,1,5,3.87,
313,313,3,9,11159,5356,932.94,939.90,6.96,1,1,10.00,1,15,4.13,
314,314,4,16,11180,11827,932.95,939.90,6.95,1,1,10.00,1,0,4.54,
315,315,32,41,1285,5578,932.96,935.20,2.24,1,1,10.00,1,0,1.18,
316,316,3,19,11159,1352,933.00,936.20,3.20,1,1,10.00,1,0,1.87,
317,317,3,22,11159,3689,933.00,939.70,6.70,1,1,10.00,1,15,3.36,
318,318,2,16,11123,11827,933.00,936.20,3.20,1,1,10.00,1,5,1.98,
319,319,3,16,11159,11827,933.00,938.50,5.50,1,1,10.00,1,5,2.95,
