agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,16,31,11827,1314,930.05,933.90,3.85,1,1,10.00,1,5,2.25,
1,1,26,20,1323,1356,930.05,934.40,4.35,1,1,10.00,1,15,1.98,
2,2,9,10,5356,5929,930.09,932.30,2.21,1,1,10.00,1,15,0.93,
3,3,20,10,1356,5929,930.19,934.40,4.21,1,1,10.00,1,10,1.60,
4,4,21,36,6253,1299,930.22,939.20,8.98,1,1,10.00,1,0,4.00,
5,5,35,18,1290,1286,930.28,933.60,3.32,1,1,10.00,1,10,1.39,
6,6,27,7,1346,11281,930.35,934.50,4.15,1,1,10.00,1,15,2.21,
7,7,26,20,1323,1356,930.39,934.90,4.51,1,1,10.00,1,0,1.98,
8,8,4,24,11180,1325,930.40,937.50,7.10,1,1,10.00,1,5,3.69,
9,9,33,15,1351,4899,930.43,939.40,8.97,1,1,10.00,1,15,5.07,
10,10,3,11,11159,5119,930.44,934.60,4.16,1,1,10.00,1,0,2.34,
11,11,26,28,1323,1359,930.44,933.60,3.16,1,1,10.00,1,5,1.48,
12,12,3,41,11159,5578,930.44,935.00,4.56,1,1,10.00,1,5,3.20,
13,13,6,12,5238,11151,930.46,940.10,9.64,1,1,10.00,1,10,5.54,
14,14,16,23,11827,1361,930.51,940.70,10.19,1,1,10.00,1,10,4.86,
15,15,3,24,11159,1325,930.59,935.70,5.11,1,1,10.00,1,0,2.63,
16,16,3,9,11159,5356,930.59,936.80,6.21,1,1,10.00,1,10,3.35,
17,17,5,30,11282,1360,930.60,937.00,6.40,1,1,10.00,1,10,3.30,
18,18,27,39,1346,1404,930.66,935.90,5.24,1,1,10.00,1,5,2.32,
19,19,1,11,5577,5119,930.67,938.50,7.83,1,1,10.00,1,0,4.77,
20,20,1,41,5577,5578,930.67,931.70,1.03,1,1,10.00,1,0,0.62,
21,21,10,21,5929,6253,930.68,934.20,3.52,1,1,10.00,1,5,1.47,
22,22,3,14,11159,5037,930.71,937.60,6.89,1,1,10.00,1,10,3.93,
23,23,26,32,1323,1285,930.73,935.40,4.67,1,1,10.00,1,0,2.53,
24,24,3,21,11159,6253,930.76,937.50,6.74,1,1,10.00,1,0,3.88,
25,25,28,5,1359,11282,930.80,936.70,5.90,1,1,10.00,1,5,3.02,
26,26,12,6,11151,5238,930.81,940.30,9.49,1,1,10.00,1,0,5.54,
27,27,3,13,11159,5034,930.86,936.50,5.64,1,1,10.00,1,5,3.30,
28,28,3,34,11159,1319,930.87,931.90,1.03,1,1,10.00,1,5,0.59,
29,29,17,11,1289,5119,930.88,938.40,7.52,1,1,10.00,1,10,3.61,
30,30,4,21,11180,6253,930.88,936.30,5.42,1,1,10.00,1,0,2.92,
31,31,1,24,5577,1325,930.88,938.80,7.92,1,1,10.00,1,5,4.00,
32,32,17,41,1289,5578,930.88,933.00,2.12,1,1,10.00,1,10,1.21,
33,33,2,11,11123,5119,930.88,937.20,6.32,1,1,10.00,1,0,3.84,
34,34,3,11,11159,5119,930.88,935.00,4.12,1,1,10.00,1,5,2.34,
35,35,2,41,11123,5578,930.89,933.40,2.51,1,1,10.00,1,10,1.70,
36,36,1,9,5577,5356,930.89,941.50,10.61,1,1,10.00,1,15,6.56,
37,37,3,41,11159,5578,930.89,935.60,4.71,1,1,10.00,1,15,3.20,
38,38,33,28,1351,1359,930.89,938.00,7.11,1,1,10.00,1,0,2.96,
39,39,24,16,1325,11827,930.92,937.80,6.88,1,1,10.00,1,0,3.48,
40,40,34,10,1320,5929,930.93,936.90,5.97,1,1,10.00,1,5,2.90,
41,41,19,33,1352,1351,930.96,932.40,1.44,1,1,10.00,1,5,0.50,
42,42,6,11,5238,5119,930.96,938.90,7.94,1,1,10.00,1,10,4.07,
43,43,6,41,5238,5578,930.97,938.90,7.93,1,1,10.00,1,5,5.34,
44,44,28,36,1359,1299,930.99,936.90,5.91,1,1,10.00,1,0,2.57,
45,45,7,26,11281,1323,931.00,936.40,5.40,1,1,10.00,1,5,2.56,
46,46,20,28,1356,1359,931.02,935.40,4.38,1,1,10.00,1,0,1.84,
47,47,21,38,6253,1397,931.03,935.80,4.77,1,1,10.00,1,0,2.27,
48,48,1,14,5577,5037,931.07,935.10,4.03,1,1,10.00,1,10,2.29,
49,49,35,37,1290,1349,931.09,936.50,5.41,1,1,10.00,1,15,2.85,
50,50,15,28,4899,1359,931.15,938.90,7.75,1,1,10.00,1,0,3.47,
51,51,17,24,1289,1325,931.15,938.30,7.15,1,1,10.00,1,0,3.32,
52,52,34,11,1320,5119,931.15,935.20,4.05,1,1,10.00,1,15,2.06,
53,53,1,21,5577,6253,931.15,941.50,10.35,1,1,10.00,1,15,6.32,
54,54,17,9,1289,5356,931.17,940.50,9.33,1,1,10.00,1,0,5.35,
55,55,34,41,1320,5578,931.17,934.00,2.83,1,1,10.00,1,15,1.81,
56,56,3,24,11159,1325,931.17,936.20,5.03,1,1,10.00,1,10,2.63,
57,57,2,24,11123,1325,931.18,938.00,6.82,1,1,10.00,1,10,3.35,
58,58,2,9,11123,5356,931.18,940.30,9.12,1,1,10.00,1,10,5.63,
59,59,3,9,11159,5356,931.18,937.40,6.22,1,1,10.00,1,0,3.35,
60,60,33,18,1351,1286,931.20,939.30,8.10,1,1,10.00,1,10,4.83,
61,61,31,11,8002,5119,931.24,936.00,4.76,1,1,10.00,1,0,2.53,
62,62,31,41,8002,5578,931.25,934.50,3.25,1,1,10.00,1,5,1.97,
63,63,6,24,5238,1325,931.26,940.10,8.84,1,1,10.00,1,15,4.77,
64,64,5,11,11282,5119,931.28,938.70,7.42,1,1,10.00,1,0,3.70,
65,65,6,9,5238,5356,931.28,936.20,4.92,1,1,10.00,1,10,2.75,
66,66,5,41,11282,5578,931.29,938.70,7.41,1,1,10.00,1,15,4.97,
67,67,37,11,1353,5119,931.29,935.40,4.11,1,1,10.00,1,15,2.09,
68,68,1,34,5577,1322,931.30,933.70,2.40,1,1,10.00,1,10,1.56,
69,69,1,13,5577,5034,931.30,936.10,4.80,1,1,10.00,1,5,2.85,
70,70,37,41,1353,5578,931.30,936.60,5.30,1,1,10.00,1,15,3.45,
71,71,3,11,11159,5119,931.32,935.50,4.18,1,1,10.00,1,5,2.34,
72,72,3,41,11159,5578,931.33,935.90,4.57,1,1,10.00,1,15,3.20,
73,73,1,11,5577,5119,931.33,939.40,8.07,1,1,10.00,1,10,4.77,
74,74,1,41,5577,5578,931.34,932.40,1.06,1,1,10.00,1,10,0.62,
75,75,41,11,5578,5119,931.35,939.90,8.55,1,1,10.00,1,5,5.03,
76,76,28,6,1359,5238,931.36,937.80,6.44,1,1,10.00,1,5,3.40,
77,77,7,11,11281,5119,931.36,938.20,6.84,1,1,10.00,1,10,3.38,
78,78,11,41,5119,5578,931.36,939.30,7.94,1,1,10.00,1,0,5.03,
79,79,36,18,1299,1286,931.36,935.90,4.54,1,1,10.00,1,15,2.21,
80,80,7,41,11281,5578,931.38,940.10,8.72,1,1,10.00,1,15,5.64,
81,81,26,17,1323,1289,931.39,935.80,4.41,1,1,10.00,1,15,2.13,
82,82,17,14,1289,5037,931.40,935.70,4.30,1,1,10.00,1,0,2.21,
83,83,3,14,11159,5037,931.41,938.40,6.99,1,1,10.00,1,0,4.03,
84,84,3,31,11159,8116,931.41,932.80,1.39,1,1,10.00,1,5,0.71,
85,85,2,14,11123,5037,931.43,936.40,4.97,1,1,10.00,1,15,2.82,
86,86,27,41,1348,5578,931.43,936.70,5.27,1,1,10.00,1,5,3.44,
87,87,27,11,1348,5119,931.43,936.40,4.97,1,1,10.00,1,10,2.58,
88,88,27,40,1348,1296,931.45,938.20,6.75,1,1,10.00,1,10,3.58,
89,89,32,11,1285,5119,931.46,938.90,7.44,1,1,10.00,1,0,4.32,
90,90,32,41,1285,5578,931.48,933.60,2.12,1,1,10.00,1,0,1.18,
91,91,3,16,11159,11827,931.50,936.70,5.20,1,1,10.00,1,0,3.48,
92,92,3,19,11159,1352,931.50,934.70,3.20,1,1,10.00,1,10,1.87,
93,93,3,22,11159,3689,931.50,936.90,5.40,1,1,10.00,1,0,3.02,
94,94,17,21,1289,6253,931.52,941.70,10.18,1,1,10.00,1,0,5.89,
95,95,3,21,11159,6253,931.53,938.00,6.47,1,1,10.00,1,15,3.88,
96,96,26,20,1323,1357,931.53,935.90,4.37,1,1,10.00,1,10,1.98,
97,97,34,24,1322,1325,931.54,936.50,4.96,1,1,10.00,1,0,2.35,
98,98,2,21,11123,6253,931.54,940.10,8.56,1,1,10.00,1,0,5.39,
99,99,6,14,5238,5037,931.54,942.20,10.66,1,1,10.00,1,5,6.07,
100,100,4,20,11180,1356,931.54,934.70,3.16,1,1,10.00,1,5,1.40,
101,101,41,12,5578,11151,931.55,937.40,5.85,1,1,10.00,1,5,3.20,
102,102,5,33,11282,1351,931.56,933.40,1.84,1,1,10.00,1,10,0.92,
103,103,34,9,1319,5356,931.56,937.60,6.04,1,1,10.00,1,0,3.07,
104,104,17,10,1289,5929,931.56,941.40,9.84,1,1,10.00,1,0,5.19,
105,105,25,5,1354,11282,931.58,935.50,3.92,1,1,10.00,1,0,2.05,
106,106,31,24,1314,1325,931.64,937.50,5.86,1,1,10.00,1,15,2.82,
107,107,31,9,1314,5356,931.64,938.70,7.06,1,1,10.00,1,0,3.54,
108,108,6,21,5238,6253,931.64,936.40,4.76,1,1,10.00,1,0,2.51,
109,109,18,11,1286,5119,931.64,940.90,9.26,1,1,10.00,1,15,4.35,
110,110,18,41,1286,5578,931.67,934.10,2.43,1,1,10.00,1,5,1.15,
111,111,12,27,11151,1346,931.68,938.30,6.62,1,1,10.00,1,10,3.64,
112,112,15,32,4899,1285,931.68,936.30,4.62,1,1,10.00,1,10,2.64,
113,113,17,34,1289,1319,931.69,933.80,2.11,1,1,10.00,1,5,0.71,
114,114,5,24,11282,1325,931.69,939.80,8.11,1,1,10.00,1,5,4.40,
115,115,5,9,11282,5356,931.69,936.20,4.51,1,1,10.00,1,15,2.38,
116,116,37,24,1349,1325,931.69,936.70,5.01,1,1,10.00,1,0,2.38,
117,117,37,9,1349,5356,931.71,937.50,5.79,1,1,10.00,1,10,2.33,
118,118,17,13,1289,5034,931.71,935.80,4.09,1,1,10.00,1,0,2.17,
119,119,39,14,1404,5037,931.73,940.20,8.47,1,1,10.00,1,10,3.84,
120,120,3,13,11159,5034,931.73,937.20,5.47,1,1,10.00,1,0,3.30,
121,121,2,13,11123,5034,931.74,935.40,3.66,1,1,10.00,1,5,2.20,
122,122,2,34,11123,1319,931.74,932.90,1.16,1,1,10.00,1,10,0.63,
123,123,3,34,11159,1319,931.74,932.80,1.06,1,1,10.00,1,10,0.59,
124,124,34,33,1319,1351,931.75,935.20,3.45,1,1,10.00,1,0,1.94,
125,125,17,11,1289,5119,931.75,939.80,8.05,1,1,10.00,1,10,3.52,
126,126,3,24,11159,1325,931.76,937.00,5.24,1,1,10.00,1,10,2.63,
127,127,3,11,11159,5119,931.76,936.10,4.34,1,1,10.00,1,5,2.34,
128,128,9,11,5356,5119,931.76,935.50,3.74,1,1,10.00,1,15,1.70,
129,129,2,11,11123,5119,931.76,938.20,6.44,1,1,10.00,1,10,3.84,
130,130,3,9,11159,5356,931.76,939.10,7.34,1,1,10.00,1,10,4.13,
131,131,17,41,1289,5578,931.76,933.90,2.14,1,1,10.00,1,0,1.21,
132,132,1,24,5577,1325,931.76,939.70,7.94,1,1,10.00,1,15,4.00,
133,133,11,24,5119,1325,931.76,933.30,1.54,1,1,10.00,1,5,0.63,
134,134,2,41,11123,5578,931.78,934.30,2.52,1,1,10.00,1,15,1.70,
135,135,1,9,5577,5356,931.78,942.00,10.22,1,1,10.00,1,10,5.79,
136,136,3,41,11159,5578,931.78,936.50,4.72,1,1,10.00,1,10,3.20,
137,137,14,33,5037,1351,931.79,940.90,9.11,1,1,10.00,1,5,5.28,
138,138,41,24,5578,1325,931.79,940.10,8.31,1,1,10.00,1,10,4.25,
139,139,41,9,5578,5356,931.79,942.60,10.81,1,1,10.00,1,15,6.81,
140,140,11,9,5119,5356,931.79,935.60,3.81,1,1,10.00,1,10,1.70,
141,141,7,24,11281,1325,931.79,939.70,7.91,1,1,10.00,1,5,3.67,
142,142,7,9,11281,5356,931.82,935.90,4.08,1,1,10.00,1,5,2.06,
143,143,9,41,5356,5578,931.82,941.60,9.78,1,1,10.00,1,5,5.91,
144,144,3,37,11159,1349,931.85,933.50,1.65,1,1,10.00,1,5,0.74,
145,145,34,14,1320,5037,931.88,936.10,4.22,1,1,10.00,1,0,2.30,
146,146,27,24,1346,1325,931.88,937.80,5.92,1,1,10.00,1,0,2.87,
147,147,3,28,11159,1359,931.88,936.40,4.53,1,1,10.00,1,10,2.34,
148,148,3,15,11159,4899,931.88,938.50,6.63,1,1,10.00,1,15,3.82,
149,149,27,9,1346,5356,931.88,938.10,6.22,1,1,10.00,1,5,3.38,
150,150,6,13,5238,5034,931.88,941.20,9.33,1,1,10.00,1,10,5.44,
151,151,6,34,5238,1320,931.88,936.30,4.42,1,1,10.00,1,15,2.73,
152,152,3,17,11159,1289,931.90,936.10,4.20,1,1,10.00,1,0,2.52,
153,153,6,11,5238,5119,931.92,940.00,8.08,1,1,10.00,1,0,4.07,
154,154,35,25,1290,1355,931.92,937.80,5.88,1,1,10.00,1,0,2.79,
155,155,19,39,1352,1404,931.93,936.30,4.37,1,1,10.00,1,0,1.85,
156,156,32,24,1285,1325,931.94,939.80,7.86,1,1,10.00,1,15,3.82,
157,157,1,3,5577,11159,931.94,936.20,4.26,1,1,10.00,1,0,2.95,
158,158,6,41,5238,5578,931.94,940.00,8.06,1,1,10.00,1,15,5.34,
159,159,3,1,11159,5577,931.94,936.30,4.36,1,1,10.00,1,10,2.95,
160,160,41,33,5578,1351,931.96,939.10,7.14,1,1,10.00,1,10,4.55,
161,161,3,18,11159,1286,931.97,937.80,5.83,1,1,10.00,1,5,3.48,
162,162,31,14,8002,5037,931.97,937.30,5.33,1,1,10.00,1,5,2.69,
163,163,32,9,1285,5356,931.97,942.10,10.13,1,1,10.00,1,10,6.11,
164,164,1,11,5577,5119,932.00,940.00,8.00,1,1,10.00,1,10,4.77,
165,165,36,3,1299,11159,932.00,938.00,6.00,1,1,10.00,1,0,3.38,
166,166,1,41,5577,5578,932.01,933.00,0.99,1,1,10.00,1,15,0.62,
167,167,34,21,1322,6253,932.03,938.80,6.77,1,1,10.00,1,5,3.96,
168,168,3,20,11159,1357,932.03,936.70,4.67,1,1,10.00,1,0,2.36,
169,169,5,14,11282,5037,932.03,941.70,9.67,1,1,10.00,1,5,5.69,
170,170,12,41,11151,5578,932.03,937.60,5.57,1,1,10.00,1,10,3.20,
171,171,12,11,11151,5119,932.03,936.20,4.17,1,1,10.00,1,0,1.75,
172,172,37,14,1353,5037,932.07,939.70,7.63,1,1,10.00,1,0,4.16,
173,173,1,31,5577,8002,932.11,935.00,2.89,1,1,10.00,1,0,1.72,
174,174,3,38,11159,1397,932.11,937.50,5.39,1,1,10.00,1,0,2.84,
175,175,3,14,11159,5037,932.12,939.10,6.98,1,1,10.00,1,5,3.93,
176,176,3,32,11159,1285,932.14,936.20,4.06,1,1,10.00,1,5,2.49,
177,177,28,11,1359,5119,932.14,934.00,1.86,1,1,10.00,1,0,0.97,
178,178,14,11,5037,5119,932.14,938.80,6.66,1,1,10.00,1,5,2.96,
179,179,11,14,5119,5037,932.14,938.40,6.26,1,1,10.00,1,0,2.96,
180,180,28,41,1359,5578,932.14,940.20,8.06,1,1,10.00,1,0,5.03,
181,181,1,14,5577,5037,932.14,936.20,4.06,1,1,10.00,1,5,2.29,
182,182,21,28,6253,1359,932.16,935.80,3.64,1,1,10.00,1,0,1.56,
183,183,14,41,5037,5578,932.18,936.60,4.42,1,1,10.00,1,0,2.54,
184,184,31,21,8116,6253,932.18,939.30,7.12,1,1,10.00,1,10,4.08,
185,185,18,9,1286,5356,932.18,944.30,12.12,1,1,10.00,1,0,7.09,
186,186,18,24,1286,1325,932.18,940.90,8.72,1,1,10.00,1,5,4.03,
187,187,41,14,5578,5037,932.18,936.60,4.42,1,1,10.00,1,10,2.54,
188,188,7,14,11281,5037,932.18,943.40,11.22,1,1,10.00,1,5,6.37,
189,189,20,32,1357,1285,932.19,940.20,8.01,1,1,10.00,1,10,4.37,
190,190,3,11,11159,5119,932.21,936.50,4.29,1,1,10.00,1,15,2.34,
191,191,3,41,11159,5578,932.22,937.00,4.78,1,1,10.00,1,10,3.20,
192,192,1,22,5577,3689,932.22,942.60,10.38,1,1,10.00,1,5,5.80,
193,193,5,21,11282,6253,932.22,936.00,3.78,1,1,10.00,1,5,2.14,
194,194,37,21,1353,6253,932.22,937.70,5.48,1,1,10.00,1,10,2.50,
195,195,1,16,5577,11827,932.26,933.80,1.54,1,1,10.00,1,10,0.90,
196,196,34,13,1322,5034,932.26,935.20,2.94,1,1,10.00,1,0,1.67,
197,197,27,14,1348,5037,932.26,940.00,7.74,1,1,10.00,1,10,4.27,
198,198,1,19,5577,1352,932.26,939.00,6.74,1,1,10.00,1,5,4.30,
199,199,3,21,11159,6253,932.29,939.10,6.81,1,1,10.00,1,15,3.88,
200,200,11,39,5119,1404,932.30,935.80,3.50,1,1,10.00,1,5,1.51,
201,201,1,21,5577,6253,932.31,942.90,10.59,1,1,10.00,1,5,6.32,
202,202,34,11,1319,5119,932.31,936.50,4.19,1,1,10.00,1,10,2.06,
203,203,32,14,1285,5037,932.31,937.40,5.09,1,1,10.00,1,0,2.85,
204,204,17,24,1289,1325,932.31,939.50,7.19,1,1,10.00,1,10,3.32,
205,205,11,21,5119,6253,932.31,937.40,5.09,1,1,10.00,1,15,2.24,
206,206,14,40,5037,1296,932.33,934.60,2.27,1,1,10.00,1,0,1.11,
207,207,34,41,1319,5578,932.33,935.10,2.77,1,1,10.00,1,10,1.81,
208,208,17,9,1289,5356,932.33,942.50,10.17,1,1,10.00,1,0,5.35,
209,209,3,24,11159,1325,932.34,937.70,5.36,1,1,10.00,1,5,2.63,
210,210,2,24,11123,1325,932.35,939.20,6.85,1,1,10.00,1,0,3.35,
211,211,41,21,5578,6253,932.35,943.50,11.15,1,1,10.00,1,15,6.57,
212,212,2,9,11123,5356,932.35,941.60,9.25,1,1,10.00,1,0,5.63,
213,213,3,9,11159,5356,932.35,939.40,7.05,1,1,10.00,1,5,4.13,
214,214,7,21,11281,6253,932.35,935.80,3.45,1,1,10.00,1,5,1.81,
215,215,9,24,5356,1325,932.35,937.10,4.75,1,1,10.00,1,5,2.15,
216,216,8,37,10847,1349,932.37,937.70,5.33,1,1,10.00,1,0,2.27,
217,217,31,34,1314,1319,932.40,933.50,1.10,1,1,10.00,1,0,0.36,
218,218,27,21,1346,6253,932.45,938.10,5.65,1,1,10.00,1,15,3.13,
219,219,25,41,1354,5578,932.45,939.00,6.55,1,1,10.00,1,10,3.99,
220,220,5,13,11282,5034,932.45,941.20,8.75,1,1,10.00,1,15,5.17,
221,221,19,11,1352,5119,932.45,939.50,7.05,1,1,10.00,1,15,3.20,
222,222,5,34,11282,1319,932.45,936.40,3.95,1,1,10.00,1,15,2.36,
223,223,25,11,1354,5119,932.45,935.50,3.05,1,1,10.00,1,0,1.47,
224,224,31,13,1316,5034,932.45,936.80,4.35,1,1,10.00,1,10,2.17,
225,225,6,35,5238,1290,932.47,940.80,8.33,1,1,10.00,1,15,4.87,
226,226,31,11,1316,5119,932.47,937.30,4.83,1,1,10.00,1,5,2.53,
227,227,8,15,10847,4899,932.49,940.60,8.11,1,1,10.00,1,10,3.76,
228,228,34,8,1319,10847,932.49,938.70,6.21,1,1,10.00,1,0,3.00,
229,229,19,41,1352,5578,932.50,939.50,7.00,1,1,10.00,1,15,4.55,
230,230,31,41,1316,5578,932.50,935.80,3.30,1,1,10.00,1,10,1.97,
231,231,37,13,1349,5034,932.50,938.70,6.20,1,1,10.00,1,5,3.54,
232,232,6,24,5238,1325,932.53,941.40,8.87,1,1,10.00,1,0,4.36,
233,233,32,21,1285,6253,932.55,942.80,10.25,1,1,10.00,1,5,5.86,
234,234,17,3,1289,11159,932.55,936.50,3.95,1,1,10.00,1,10,2.52,
235,235,5,11,11282,5119,932.55,939.90,7.35,1,1,10.00,1,5,3.70,
