from_zone_id,to_zone_id,number_of_agents,number_of_agents_completing_trips,trip_time_in_min,distance
1,2,30,30,2.22334,1.4541
1,3,61,61,4.46066,2.96792
1,4,3,3,6.81108,4.0067
1,5,21,21,7.91905,4.81288
1,6,28,28,8.39287,5.1454
1,7,20,20,9.03,5.3937
1,8,3,3,11.0974,6.4986
1,9,134,134,11.6373,6.3061
1,10,9,9,12.1853,5.95625
1,11,179,179,9.39888,4.84574
1,12,5,5,5.651,2.95315
1,13,91,91,4.92198,2.85309
1,14,111,111,4.1009,2.28772
1,15,42,42,3.67143,2.08137
1,16,52,52,1.68269,0.90448
1,17,41,41,1.83903,0.956
1,18,40,40,2.1325,0.9039
1,19,52,52,7.41731,4.35768
1,20,39,39,8.57436,4.80023
1,21,103,103,30.4854,6.31365
1,22,53,53,11.3792,5.68792
1,23,24,24,12.2167,5.89574
1,24,135,135,10.2059,4.46985
1,25,9,9,6.32058,3.7247
1,26,18,18,5.2,2.98956
1,27,28,28,5.47145,3.2197
1,28,42,42,10.5762,5.13964
1,30,17,17,10.0412,4.91321
1,31,56,56,2.95,1.7174
1,32,36,36,1.74167,0.9323
1,33,16,16,7.45,4.32671
1,34,91,91,2.52638,1.56273
1,35,13,13,2.75383,1.35826
1,36,21,21,3.95715,2.17796
1,37,42,42,5.24762,3.19003
1,38,37,37,9.42432,5.31333
1,39,15,15,10.8333,5.53063
1,40,6,6,4.39937,2.46099
1,41,178,178,1.04607,0.624499
2,1,31,31,2.25161,1.4541
2,3,46,46,3.16087,2.03607
2,4,2,2,5.67996,3.077
2,5,16,16,6.40625,3.81111
2,6,21,21,6.8762,4.1615
2,7,14,14,7.90715,4.44916
2,8,2,2,9.80832,5.5689
2,9,101,101,10.3822,5.34101
2,10,6,6,10.5218,5.18526
2,11,135,135,8.02148,3.83351
2,12,4,4,4.48517,2.2962
2,13,68,68,3.85736,2.19614
2,14,83,83,5.08313,2.82317
2,15,31,31,4.72259,2.61682
2,16,39,39,3.25641,1.98458
2,17,31,31,2.04516,1.0223
2,18,30,30,3.65667,1.984
2,19,38,38,6.21579,3.44567
2,20,28,28,7.39286,3.87036
2,21,77,77,28.7714,5.38662
2,22,39,39,9.83334,4.78133
2,23,18,18,10.9667,4.88158
2,24,101,101,9.0604,3.74167
2,25,7,7,5.3265,2.7624
2,26,14,14,3.92143,2.05986
2,27,21,21,4.13334,2.28097
2,28,31,31,9.26129,3.99871
2,30,13,13,8.76154,4.01432
2,31,42,42,1.64762,0.7877
2,32,28,28,1.86786,0.9986
2,33,12,12,5.94167,3.3733
2,34,68,68,1.25442,0.63303
2,35,10,10,2.98,1.5187
2,36,16,16,4.5,2.31767
2,37,31,31,4.02903,2.25728
2,38,28,28,8.18929,4.39551
2,39,11,11,9.54545,4.60693
2,40,8,8,3.96842,2.1278
2,41,134,134,2.59179,1.7046
3,1,61,61,4.43114,2.9494
3,2,46,46,3.18913,2.0197
3,4,4,4,3.21712,1.5699
3,5,32,32,4.08125,2.31115
3,6,43,43,4.57907,2.6544
3,7,30,30,5.45333,2.95793
3,8,5,5,8.56154,3.7505
3,9,203,203,8.03103,3.88893
3,10,13,13,8.36923,3.52471
3,11,271,271,5.70997,2.44139
3,12,7,7,7.24935,3.42888
3,13,138,138,6.05435,3.35666
3,14,169,169,7.32189,3.97681
3,15,63,63,6.88253,3.76451
3,16,79,79,5.50886,3.39294
3,17,62,62,4.19677,2.5176
3,18,60,60,5.87834,3.4793
3,19,79,79,3.81393,1.91558
3,20,58,58,4.99482,2.36991
3,21,156,156,25.7282,3.88436
3,22,79,79,7.60886,3.27832
3,23,36,36,8.35001,3.5119
3,24,204,204,7.3451,2.86354
3,25,13,13,3.03076,1.313
3,26,27,27,2.21111,1.07548
3,27,43,43,1.93488,0.824674
3,28,63,63,6.72858,2.65294
3,30,27,27,6.53704,2.73415
3,31,84,84,1.55119,0.7075
3,32,55,55,4.11273,2.4939
3,33,24,24,3.6375,1.8662
3,34,137,137,1.24818,0.593172
3,35,20,20,5.33,2.66864
3,36,32,32,6.6625,3.49161
3,37,64,64,1.63595,0.751256
3,38,56,56,5.86071,2.89249
3,39,22,22,7.18637,3.27749
3,40,10,10,6.20001,3.283
3,41,269,269,4.80074,3.19989
