from_zone_id,to_zone_id,number_of_agents,number_of_agents_completing_trips,trip_time_in_min,distance
4,1,3,3,6.24768,4.0067
4,2,2,2,4.86447,3.077
4,3,4,4,3.07597,1.6933
4,5,1,1,2.50653,1.3162
4,6,2,2,3.09341,1.6903
4,7,2,2,3.62051,1.9928
4,9,10,10,5.99,3.1629
4,11,13,13,7.46154,3.38146
4,12,1,1,9.14984,4.45616
4,13,6,6,8.15914,4.47339
4,14,9,9,9.25606,5.02983
4,15,3,3,9.1201,4.97634
4,16,4,4,7.18324,4.53718
4,17,3,3,6.5036,3.73943
4,18,3,3,7.72986,4.5366
4,19,4,4,2.04832,0.9013
4,20,3,3,3.31458,1.40583
4,21,7,7,27.6902,2.9192
4,22,4,4,5.82268,2.62205
4,23,2,2,7.35428,3.37607
4,24,9,9,8.50422,3.67217
4,25,1,1,2.98773,1.3436
4,26,1,1,4.05255,2.16053
4,27,2,2,1.77832,0.821
4,28,3,3,6.77826,2.66103
4,30,1,1,6.52417,2.94286
4,31,4,4,3.74564,1.8882
4,32,2,2,5.78271,3.5512
4,33,1,1,2.13098,0.9021
4,34,6,6,3.29308,1.64753
4,35,1,1,7.4632,3.67866
4,36,2,2,8.71091,4.49932
4,37,3,3,1.80804,0.7994
4,38,3,3,3.93978,1.8755
4,39,1,1,5.26434,2.1085
4,40,1,1,7.94965,4.28776
4,41,13,13,6.83846,4.29517
5,1,21,21,7.56667,4.7406
5,2,15,15,6.22002,3.7874
5,3,32,32,3.96875,2.31115
5,4,2,2,2.57156,1.3162
5,6,14,14,1.62143,0.9073
5,7,10,10,2.54,1.2098
5,8,1,1,4.13013,2.3147
5,9,70,70,4.68714,2.3799
5,10,5,5,6.0521,2.92393
5,11,93,93,8.25054,3.89163
5,12,3,3,10.3003,5.08621
5,13,48,48,9.35833,5.22472
5,14,58,58,10.3534,5.78862
5,15,22,22,9.87274,5.54449
5,16,27,27,8.57037,5.22415
5,17,21,21,7.32381,4.33231
5,18,21,21,9.0381,5.27051
5,19,26,26,1.96538,0.9181
5,20,20,20,2.85999,1.2786
5,21,53,53,21.6943,2.1362
5,22,27,27,5.19629,2.5159
5,23,13,13,6.86922,3.16543
5,24,70,70,9.77714,4.25212
5,25,5,5,4.19454,2.03304
5,26,10,10,5.23998,2.85844
5,27,15,15,2.96001,1.5314
5,28,21,21,6.48572,3.02276
5,30,9,9,7.25262,3.41496
5,31,29,29,4.65172,2.49222
5,32,19,19,7.22106,4.31356
5,33,8,8,1.87234,0.9189
5,34,48,48,4.24374,2.3665
5,35,7,7,8.5935,4.40407
5,36,11,11,9.93637,5.27702
5,37,22,22,2.81819,1.5098
5,38,19,19,2.7579,1.0925
5,39,7,7,6.09632,2.89363
5,40,3,3,9.09719,5.06821
5,41,92,92,7.83153,5.00515
6,1,28,28,8.19286,5.16172
6,2,21,21,6.72382,4.1615
6,3,43,43,4.46745,2.67736
6,4,2,2,3.10828,1.6903
6,5,14,14,1.8,0.9073
6,7,14,14,3.15714,1.5839
6,8,3,3,5.11375,2.6888
6,9,93,93,5.23872,2.754
6,10,6,6,6.42695,3.29803
6,11,124,124,8.84113,4.2345
6,12,3,3,10.0146,5.57568
6,13,63,63,9.71746,5.51697
6,14,77,77,10.9623,6.15658
6,15,29,29,10.7034,5.95944
6,16,36,36,8.97779,5.62071
6,17,28,28,7.86072,4.71229
6,18,28,28,9.56429,5.65636
6,19,36,36,2.52223,1.2922
6,20,27,27,3.4,1.6527
6,21,72,72,22.4778,2.5103
6,22,36,36,5.72222,2.89
6,23,17,17,7.27647,3.53953
6,24,94,94,10.3968,4.62417
6,25,7,7,4.78744,2.41313
6,26,12,12,5.77499,3.23391
6,27,20,20,3.39999,1.9055
6,28,29,29,6.99655,3.39686
6,30,12,12,8.125,3.83373
6,31,38,38,5.16052,2.87528
6,32,25,25,7.76,4.67519
6,33,11,11,2.59091,1.293
6,34,63,63,4.89841,2.75798
6,35,9,9,8.88592,4.89972
6,36,14,14,10.5071,5.68739
6,37,29,29,3.47587,1.8839
6,38,26,26,3.28462,1.4666
6,39,10,10,6.53,3.26773
6,40,4,4,10.3441,5.54819
6,41,123,123,8.37561,5.37782
7,1,20,20,9.05999,5.39524
7,2,14,14,7.79286,4.46621
7,3,30,30,5.24335,2.95827
7,4,1,1,3.60455,1.9928
7,5,10,10,2.42,1.2098
7,6,14,14,3.22143,1.5839
7,8,1,1,4.80426,1.9931
7,9,65,65,4.26923,2.0583
7,10,4,4,5.76508,2.60233
7,11,87,87,7.86782,3.48732
7,12,3,3,11.1862,5.04406
7,13,44,44,10.4636,5.78871
7,14,54,54,11.7426,6.36143
7,15,20,20,11.43,6.15087
7,16,25,25,9.972,5.90387
7,17,20,20,8.91499,4.96602
7,18,19,19,10.2632,5.92468
7,19,25,25,2.708,1.11208
7,20,19,19,2.50001,0.957
7,21,50,50,21.098,1.8146
7,22,25,25,4.776,2.1943
7,23,12,12,6.41665,2.84383
7,24,66,66,9.20606,3.71398
7,25,4,4,4.03091,1.68
7,26,9,9,5.5093,2.55503
7,27,14,14,4.51428,2.208
7,28,20,20,6.01999,2.70116
7,30,8,8,6.90212,2.98299
7,31,27,27,5.97779,3.15294
7,32,18,18,8.67778,4.94049
7,33,7,7,3.21813,1.5955
7,34,44,44,5.675,3.01093
7,35,7,7,10.023,5.0247
7,36,11,11,11.0455,5.83564
7,37,20,20,3.795,1.5753
7,38,18,18,3.30556,1.3397
7,39,7,7,5.84045,2.57203
7,40,3,3,11.19,5.71322
7,41,86,86,9.22558,5.64528
8,1,3,3,10.3991,5.89902
8,2,2,2,9.30246,5.11922
8,3,5,5,6.71099,3.19016
8,5,2,2,4.22861,2.3147
8,6,2,2,4.73788,2.6888
8,7,2,2,3.78909,1.9931
8,9,10,10,0.720007,0.32
8,10,1,1,2.00903,0.86403
8,11,13,13,4.33845,1.77455
8,13,7,7,8.19743,3.39231
8,14,8,8,9.23859,4.00434
8,15,3,3,8.62144,3.76333
8,16,4,4,10.5134,4.79924
8,17,3,3,9.82202,5.46722
8,18,3,3,11.9087,6.47513
8,19,4,4,4.44249,2.2197
8,20,3,3,2.64303,1.1289
8,21,8,8,20.0312,0.8565
8,22,4,4,1.18646,0.456
8,23,2,2,2.6846,1.10553
8,24,10,10,5.75999,2.04194
8,25,1,1,4.40527,1.83713
8,26,2,2,5.10706,2.30523
8,27,2,2,6.08844,3.3129
8,28,3,3,2.33032,0.96286
8,30,1,1,3.55109,1.24469
8,31,5,5,7.53033,3.41278
8,32,3,3,9.47884,5.14373
8,33,1,1,5.05804,2.7004
8,34,7,7,6.44203,2.95123
8,35,1,1,12.3206,4.94436
8,36,2,2,7.65231,3.39645
8,37,4,4,5.3537,2.26793
8,38,3,3,5.09536,2.4446
8,39,1,1,1.97845,0.83373
8,41,13,13,10.6,5.89868
9,1,15,15,10.5667,5.88509
9,2,12,12,9.14167,4.82123
9,3,22,22,7.00001,3.44001
9,4,1,1,5.89984,3.1629
9,5,7,7,4.35448,2.3799
9,6,11,11,4.96365,2.754
9,7,7,7,3.99112,2.0583
9,8,1,1,0.692139,0.32
9,10,4,4,2.2883,0.92923
9,11,67,67,4.46268,1.78198
9,12,2,2,7.92401,2.97141
9,13,33,33,8.25455,3.46664
9,14,41,41,9.37317,4.07986
9,15,16,16,9.0375,3.88139
9,16,19,19,10.6895,4.92497
9,17,15,15,10.32,5.32956
9,18,15,15,12.3333,6.28025
9,19,19,19,4.76314,2.27989
9,20,15,15,2.98,1.1941
9,21,38,38,19.0684,0.9217
9,22,19,19,1.44737,0.5212
9,23,9,9,3.0337,1.17073
9,24,50,50,5.762,2.08982
9,25,3,3,4.64465,1.90233
9,26,7,7,6.09562,2.50563
9,27,10,10,6.25001,3.3781
9,28,15,15,2.70667,1.02806
9,30,6,6,3.67931,1.42577
9,31,21,21,7.69048,3.5177
9,32,13,13,10.1923,5.36862
9,33,6,6,5.28492,2.7656
9,34,34,34,6.73824,3.09633
9,35,5,5,10.3124,4.71383
9,36,7,7,8.74042,3.54287
9,37,16,16,5.725,2.33313
9,38,14,14,5.32858,2.5098
9,39,6,6,2.21343,0.89893
9,40,2,2,8.82806,3.75521
9,41,65,65,10.8031,6.02948
10,1,1,1,10.4703,5.63563
10,2,1,1,9.04016,4.5673
10,3,1,1,6.36206,3.0602
10,5,1,1,5.71906,2.92393
10,6,1,1,6.15826,3.29803
10,7,1,1,5.40753,2.60233
10,9,3,3,2.23983,0.92923
10,11,5,5,4.04412,1.65629
10,13,2,2,7.18219,3.20886
10,14,3,3,9.38074,3.96455
10,15,1,1,8.84003,3.6611
10,16,1,1,10.6759,4.83564
10,17,1,1,10.0425,5.20383
10,18,1,1,11.9022,6.0269
10,19,1,1,5.42102,2.2532
10,20,1,1,4.14618,1.73813
10,21,3,3,13.2367,1.46573
10,22,1,1,1.34705,0.59603
10,24,3,3,6.28003,2.16017
10,26,1,1,5.9939,2.203
10,27,1,1,6.24976,2.7774
10,28,1,1,2.16455,0.86063
10,31,2,2,7.5466,3.32441
10,32,1,1,9.73682,5.0415
10,33,1,1,6.41687,2.8585
10,34,2,2,6.49353,2.7814
10,35,1,1,9.82507,4.55082
10,36,1,1,8.15802,3.29422
10,37,1,1,5.23975,2.1657
10,38,1,1,6.49121,3.05383
10,41,4,4,10.8429,5.90046
11,1,20,20,7.82999,4.77468
11,2,15,15,6.61999,3.84498
11,3,30,30,4.16667,2.33788
11,4,1,1,6.36255,3.39518
11,5,11,11,7.42727,4.06848
11,6,14,14,8.07143,4.36307
11,7,10,10,7.02999,3.37586
11,8,2,2,3.74127,1.63756
11,9,66,66,4.03939,1.72503
11,10,4,4,3.74986,1.53533
11,12,3,3,4.3492,1.936
11,13,45,45,5.42223,2.42995
11,14,55,55,6.74909,3.06906
11,15,21,21,6.40477,2.87815
11,16,26,26,8.15385,3.89065
11,17,20,20,7.59999,4.29011
11,18,19,19,9.27895,5.19764
11,19,25,25,6.732,3.20261
11,20,19,19,5.90001,2.50416
11,21,51,51,23.2667,2.25079
11,22,26,26,3.30769,1.38087
11,23,12,12,4.00834,1.566
11,24,67,67,2.10746,0.669955
11,25,4,4,3.13699,1.47368
11,26,8,8,3.08041,1.48068
11,27,14,14,5.17857,2.58108
11,28,20,20,2.98999,1.06694
11,30,8,8,1.40341,0.5321
11,31,27,27,4.96296,2.52432
11,32,18,18,7.42778,4.31918
11,33,8,8,7.10522,3.69183
11,34,45,45,4.04222,2.05908
11,35,7,7,7.86208,3.77337
11,36,10,10,6.06999,2.53552
11,37,20,20,4.22499,2.09258
11,38,18,18,8.37777,3.82736
11,39,7,7,4.16328,1.54703
11,40,4,4,5.98134,2.67432
11,41,87,87,8.13793,5.02255
12,1,13,13,5.74614,2.95315
12,2,10,10,4.29999,2.2962
12,3,20,20,6.56,3.38952
12,4,1,1,8.25342,4.45616
12,5,7,7,9.53309,5.16656
12,6,9,9,10.1151,5.54066
12,7,6,6,11.3068,4.81333
12,8,1,1,7.63293,2.89918
12,9,44,44,9.26591,3.27466
12,10,2,2,11.054,4.30912
12,11,58,58,6.20345,2.08144
12,13,30,30,2.14001,0.94014
12,14,37,37,3.49188,1.59873
12,15,13,13,3.39231,1.39238
12,16,17,17,4.85294,2.42829
12,17,14,14,4.8143,2.2732
12,18,13,13,6.50769,2.98125
12,19,17,17,9.27646,4.75166
12,20,12,12,9.96664,4.50488
12,21,34,34,29.9853,3.84609
12,22,17,17,8.41765,2.89513
12,23,8,8,10.3834,3.75099
12,24,44,44,5.41363,1.61799
12,25,3,3,6.50277,2.81562
12,26,6,6,5.8091,2.91813
12,27,9,9,7.18372,3.64206
12,28,13,13,7.3,2.07344
12,30,6,6,6.95378,2.03735
12,31,18,18,4.9,2.1727
12,32,12,12,5.425,2.7704
12,33,5,5,10.2456,4.85408
12,34,30,30,3.84667,1.77693
12,35,4,4,4.67349,2.2821
12,36,6,6,2.64453,1.0255
12,37,13,13,7.43846,3.54261
12,38,12,12,11.4,5.72586
12,39,5,5,9.47311,3.79653
12,40,2,2,2.68118,1.1734
12,41,58,58,5.88966,3.20365
13,1,10,10,5.06999,2.85309
13,2,8,8,3.72869,2.19614
13,3,15,15,5.74666,3.2988
13,4,1,1,9.58179,4.8406
13,5,6,6,8.85202,5.0665
13,6,7,7,9.55108,5.4406
13,7,5,5,10.4306,5.56766
13,8,1,1,10.1495,3.43222
13,9,33,33,10.3485,3.93918
13,10,2,2,10.5549,4.6107
13,11,44,44,7.29773,2.65128
13,12,1,1,2.16968,0.94014
13,14,28,28,2.7893,1.49867
13,15,10,10,2.49,1.29232
13,16,13,13,4.17693,2.32823
13,17,10,10,4.11,2.17314
13,18,10,10,5.56,2.88119
13,19,13,13,8.68461,4.66955
13,20,10,10,9.07999,4.58937
13,21,26,26,31.4692,4.89266
13,22,13,13,9.40768,3.43389
13,23,6,6,11.6793,4.08544
13,24,34,34,6.82352,2.38455
13,25,2,2,6.77924,3.46424
13,26,5,5,5.2891,2.81807
13,27,7,7,6.82795,3.62752
13,28,10,10,8.60999,2.75507
13,30,5,5,7.6116,2.53332
13,31,14,14,4.31428,2.0743
13,32,9,9,4.63553,2.67034
13,33,4,4,8.76482,4.6524
13,34,22,22,3.15001,1.67942
13,35,4,4,4.06369,2.18204
13,36,5,5,1.53651,0.64204
13,37,11,11,6.64546,3.51939
13,38,9,9,10.5024,5.6258
13,39,3,3,9.73643,3.96147
13,40,2,2,2.06625,1.07334
13,41,45,45,5.22667,3.10359
14,1,12,12,4.08333,2.28772
14,2,10,10,4.98,2.82317
14,3,19,19,7.10526,3.97654
14,4,1,1,8.84576,4.98313
14,5,6,6,10.1505,5.69353
14,6,9,9,10.9154,6.13415
14,7,6,6,11.5196,6.064
14,8,1,1,11.9979,4.09081
14,9,41,41,11.8097,4.69326
14,10,2,2,10.7953,4.16462
14,11,55,55,8.67636,3.36349
14,12,1,1,4.20868,1.59873
14,13,28,28,2.78215,1.49867
14,15,12,12,1.64999,0.72695
14,16,16,16,3.33749,1.76286
14,17,13,13,4.36153,2.20774
14,18,12,12,4.70833,2.31582
14,19,16,16,9.86251,5.29322
14,20,12,12,10.4,5.18167
14,21,32,32,33.0187,5.16598
14,22,16,16,11.6812,4.5432
14,23,7,7,11.6828,4.49902
14,24,41,41,8.59756,3.14151
14,25,3,3,8.0812,4.09127
14,26,6,6,6.51349,3.4451
14,27,9,9,8.08867,4.22286
14,28,12,12,9.51666,3.23438
14,30,5,5,9.85607,3.54804
14,31,17,17,5.5353,2.69383
14,32,12,12,5.24999,2.84602
14,33,5,5,10.4933,5.49424
14,34,27,27,4.54073,2.30858
14,35,4,4,4.32768,2.21664
14,36,7,7,1.82167,0.82354
14,37,13,13,7.94616,4.16726
14,38,11,11,12.1636,6.25843
14,39,5,5,12.245,5.12646
14,40,2,2,2.29788,1.10657
14,41,54,54,4.41482,2.53822
15,1,5,5,3.63557,2.08137
15,2,3,3,4.57599,2.61682
15,3,7,7,6.76569,3.8033
15,5,3,3,9.61515,5.48718
15,6,3,3,10.3731,5.86128
15,7,3,3,10.9118,6.16378
15,8,1,1,12.8522,6.24415
15,9,15,15,11.7333,4.4727
15,10,1,1,15.4103,5.56288
15,11,21,21,8.13334,2.96978
15,13,10,10,2.38999,1.29232
15,14,13,13,1.53078,0.72695
15,16,6,6,2.80433,1.55651
15,17,4,4,3.81381,2.00139
15,18,4,4,4.19672,2.10947
15,19,6,6,9.5142,5.07228
15,20,5,5,10.0684,4.97532
15,21,11,11,33.1,5.93609
15,22,6,6,10.0214,3.67319
15,23,3,3,10.6917,3.85
15,24,16,16,8.23125,2.95059
15,25,1,1,9.56323,3.44406
15,26,2,2,5.91739,3.23875
15,27,4,4,7.28406,3.96268
15,28,4,4,9.26247,3.89791
15,30,2,2,8.00113,3.04013
15,31,7,7,5.16427,2.50249
15,32,4,4,4.64772,2.63967
15,33,2,2,9.66153,5.07308
15,34,10,10,3.96,2.10106
15,35,2,2,3.85031,2.01029
15,36,3,3,1.43329,0.61719
15,37,5,5,7.38562,3.95914
15,38,4,4,11.5832,6.04648
15,39,2,2,12.0699,4.72008
15,41,20,20,3.955,2.33187
16,1,6,6,1.69764,0.90448
16,2,4,4,3.15353,1.98458
16,3,9,9,5.4953,3.46303
16,5,3,3,8.48824,5.24758
16,6,4,4,9.43069,5.71654
16,7,2,2,10.0263,5.35389
16,9,19,19,12.1053,5.61474
16,10,1,1,12.3531,4.81814
16,11,25,25,9.224,4.00302
16,12,1,1,4.71613,2.42829
16,13,14,14,4.14285,2.32823
16,14,16,16,3.26249,1.76286
16,15,6,6,2.75776,1.55651
16,17,5,5,1.79125,0.8245
16,18,6,6,2.22213,0.93258
16,19,7,7,8.45986,4.78309
16,20,6,6,8.98826,4.2115
16,21,15,15,31.5867,6.09579
16,22,8,8,12.022,4.89337
16,23,4,4,11.5314,5.05092
16,24,19,19,8.83685,3.51951
16,25,1,1,6.3205,3.117
16,26,2,2,4.9166,2.47083
16,27,4,4,6.61821,3.81794
16,28,6,6,11.1799,4.3619
16,30,3,3,9.28337,4.0909
16,31,8,8,3.88334,2.24788
16,32,5,5,2.70713,1.46278
16,33,2,2,8.09055,4.83348
16,34,13,13,2.7923,1.32263
16,35,2,2,1.79523,0.8334
16,36,3,3,3.27053,1.6531
16,37,6,6,6.18647,3.61343
16,38,6,6,10.6472,5.61629
16,39,2,2,11.3568,4.93916
16,40,1,1,3.54382,1.93613
16,41,26,26,1.97308,1.15498
17,1,30,30,1.79667,0.956
17,2,23,23,1.98261,1.0223
17,3,46,46,4.15435,2.52579
17,4,2,2,7.10812,3.8217
17,5,16,16,7.31875,4.2853
17,6,22,22,8.21819,4.72839
17,7,15,15,8.93332,4.95566
17,8,2,2,11.1444,6.0668
17,9,102,102,11.3,5.77667
17,10,7,7,11.3222,5.21711
17,11,136,136,9.03456,4.19935
17,12,3,3,5.30821,2.2732
17,13,69,69,4.1884,2.15072
17,14,85,85,4.31412,2.20774
17,15,32,32,3.84687,2.00139
17,16,40,40,1.87001,0.8245
17,18,30,30,2.80667,0.9707
17,19,40,40,7.1375,3.90023
17,20,29,29,8.36207,4.36684
17,21,78,78,30.1346,5.88337
17,22,40,40,10.7825,5.14028
17,23,18,18,12.3333,5.3623
17,24,103,103,9.70485,3.79125
17,25,7,7,6.24709,3.2521
17,26,14,14,4.65001,2.13937
17,27,21,21,5.19525,2.79694
17,28,31,31,10.5194,4.69628
17,30,13,13,9.94614,4.51868
17,31,42,42,2.66429,1.2856
17,32,28,28,1.45715,0.5005
17,33,12,12,6.95,3.8712
17,34,70,70,2.06428,0.7123
17,35,10,10,1.45,0.4943
17,36,16,16,4.16875,2.09798
17,37,32,32,4.95624,2.75634
17,38,28,28,9.03572,4.8446
17,39,11,11,10.9364,5.03287
17,40,5,5,4.24689,2.08546
17,41,135,135,2.16963,1.2065
18,1,16,16,2.10001,0.9039
18,2,13,13,3.72307,1.984
18,3,25,25,5.844,3.4793
18,4,1,1,7.89478,4.5366
18,5,8,8,9.34115,5.29443
18,6,11,11,9.71819,5.6211
18,7,8,8,10.6206,5.91062
18,8,1,1,15.438,6.25026
18,9,54,54,13.113,6.79964
18,10,4,4,14.9797,6.24302
18,11,72,72,11.0097,5.21628
18,12,2,2,6.02988,2.98125
18,13,37,37,5.48648,2.88119
18,14,45,45,4.68667,2.31582
18,15,16,16,4.24375,2.10947
18,16,21,21,2.28571,0.93258
18,17,16,16,2.80624,0.9707
18,19,21,21,8.72857,4.85088
18,20,15,15,10.2933,5.33471
18,21,41,41,32.3829,6.84519
18,22,21,21,13.019,6.03801
18,23,9,9,13.6492,6.39218
18,24,54,54,10.8944,4.50005
18,25,4,4,7.9225,4.11796
18,26,7,7,6.37602,3.16541
18,27,11,11,6.76363,3.7225
18,28,17,17,11.8235,5.49895
18,30,7,7,11.7716,5.11384
18,31,23,23,4.43913,2.2473
18,32,15,15,3.28667,1.4622
18,33,6,6,8.70412,4.8329
18,34,36,36,3.99445,2.09263
18,35,5,5,3.33429,1.38636
18,36,8,8,4.58225,2.20606
18,37,17,17,6.75295,3.71293
18,38,15,15,10.9867,5.83159
18,39,6,6,12.7767,5.96953
18,40,3,3,4.99233,2.48909
18,41,71,71,2.49718,1.1544
19,1,10,10,7.43999,4.45028
19,2,8,8,5.71289,3.3725
19,3,16,16,3.53125,1.9271
19,5,5,5,1.81859,0.9181
19,6,8,8,2.40003,1.2922
19,7,5,5,2.55122,1.1012
19,8,1,1,4.63574,2.2061
19,9,36,36,4.82501,2.2713
19,10,2,2,5.75732,2.56036
19,11,48,48,7.96458,3.23266
19,12,1,1,9.62897,4.75166
19,13,24,24,8.67083,4.7584
19,14,30,30,10.0933,5.40993
19,15,11,11,9.49092,5.18402
19,16,14,14,8.04286,4.75721
19,17,11,11,6.92725,3.96014
19,18,10,10,8.43001,4.8321
19,20,10,10,1.52999,0.525
19,21,27,27,21.8111,2.0276
19,22,14,14,5.2357,2.33082
19,23,7,7,6.66827,2.68514
19,24,36,36,9.50834,3.52855
19,25,2,2,2.67245,1.0868
19,26,5,5,4.33544,1.96183
19,27,8,8,2.49371,1.1165
19,28,11,11,6.33635,2.4922
19,30,5,5,7.63643,2.95671
19,31,14,14,4.26428,2.13081
19,32,9,9,6.74488,3.90154
19,33,4,4,1.46756,0.504
19,34,24,24,3.80834,1.96006
19,35,3,3,7.74622,4.00918
19,36,5,5,9.3483,4.90085
19,37,11,11,2,0.7057
19,38,9,9,2.89325,0.9975
19,39,4,4,4.51176,1.8517
19,40,2,2,9.2095,4.88259
19,41,47,47,7.32767,4.58421
20,1,8,8,8.20869,4.80432
20,2,7,7,6.94101,3.8668
20,3,13,13,4.62308,2.36692
20,5,4,4,2.69933,1.2786
20,6,5,5,3.20865,1.6527
20,7,4,4,2.24733,0.957
20,8,1,1,2.69104,1.1289
20,9,28,28,2.98573,1.1941
20,10,2,2,4.27701,1.66686
20,11,37,37,6.45945,2.57239
20,12,1,1,8.62366,3.63465
20,13,19,19,9.5,4.62794
20,14,23,23,10.8217,5.43068
20,15,9,9,10.0978,4.97532
20,16,11,11,9.30002,4.51843
20,17,8,8,7.89526,4.36861
20,18,8,8,9.71863,5.3264
20,19,11,11,1.5,0.525
20,21,21,21,19.3333,0.9504
20,22,10,10,3.38999,1.3301
20,23,5,5,5.00228,1.97963
20,24,28,28,8.24287,3.06514
20,25,2,2,1.96735,0.6626
20,26,4,4,4.42274,1.97883
20,27,5,5,3.67209,1.6108
20,28,8,8,4.62984,1.83696
20,30,4,4,5.87663,2.21304
20,31,11,11,5.48181,2.55745
20,32,7,7,7.9532,4.34547
20,33,3,3,3.01217,1.029
20,34,19,19,4.75263,2.1122
20,35,3,3,8.79303,3.8772
20,36,4,4,10.2913,5.0171
20,37,9,9,2.61077,0.9991
20,38,8,8,3.56261,1.4085
20,39,3,3,3.15676,1.1419
20,40,1,1,9.04199,4.4863
20,41,37,37,8.56756,5.05207
21,1,9,9,10.5042,6.32239
21,2,6,6,8.95264,5.3904
21,3,12,12,6.88334,3.88416
21,5,4,4,3.84534,2.1362
21,6,5,5,4.43234,2.5103
21,7,4,4,3.58717,1.8146
21,8,1,1,1.97534,0.8565
21,9,27,27,2.26667,0.9217
21,10,2,2,3.60403,1.46573
21,11,36,36,5.88056,2.35931
21,12,1,1,7.68292,3.36225
21,13,18,18,9.3611,3.9436
21,14,23,23,10.7304,4.60816
21,15,9,9,10.3979,4.44361
21,16,11,11,11.5454,6.85245
21,17,8,8,10.0368,5.8883
21,18,8,8,11.7025,6.85
