vehicle id,anaysis_travel_distance,anaysis_travel_time
0,2.2,3.8
1,2.0,4.3
2,0.9,2.2
3,1.6,4.2
4,4.0,9.0
5,1.4,3.3
6,2.2,4.1
7,2.0,4.5
8,3.7,7.1
9,5.1,9.0
10,2.3,4.2
11,1.5,3.2
12,3.2,4.6
13,5.5,9.6
14,4.9,10.2
15,2.6,5.1
16,3.3,6.2
17,3.3,6.4
18,2.3,5.2
19,4.8,7.8
20,0.6,1.0
21,1.5,3.5
22,3.9,6.9
23,2.5,4.7
24,3.9,6.7
25,3.0,5.9
26,5.5,9.5
27,3.3,5.6
28,0.6,1.0
29,3.6,7.5
30,2.9,5.4
31,4.0,7.9
32,1.2,2.1
33,3.8,6.3
34,2.3,4.1
35,1.7,2.5
36,6.6,10.6
37,3.2,4.7
38,3.0,7.1
39,3.5,6.9
40,2.9,6.0
41,0.5,1.4
42,4.1,7.9
43,5.3,7.9
44,2.6,5.9
45,2.6,5.4
46,1.8,4.4
47,2.3,4.8
48,2.3,4.0
49,2.9,5.4
50,3.5,7.8
51,3.3,7.1
52,2.1,4.0
53,6.3,10.3
54,5.4,9.3
55,1.8,2.8
56,2.6,5.0
57,3.3,6.8
58,5.6,9.1
59,3.3,6.2
60,4.8,8.1
61,2.5,4.8
62,2.0,3.3
63,4.8,8.8
64,3.7,7.4
65,2.8,4.9
66,5.0,7.4
67,2.1,4.1
68,1.6,2.4
69,2.9,4.8
70,3.4,5.3
71,2.3,4.2
72,3.2,4.6
73,4.8,8.1
74,0.6,1.1
75,5.0,8.6
76,3.4,6.4
77,3.4,6.8
78,5.0,7.9
79,2.2,4.5
80,5.6,8.7
81,2.1,4.4
82,2.2,4.3
83,4.0,7.0
84,0.7,1.4
85,2.8,5.0
86,3.4,5.3
87,2.6,5.0
88,3.6,6.8
89,4.3,7.4
90,1.2,2.1
91,3.5,5.2
92,1.9,3.2
93,3.0,5.4
94,5.9,10.2
95,3.9,6.5
96,2.0,4.4
97,2.3,5.0
98,5.4,8.6
99,6.1,10.7
100,1.4,3.2
101,3.2,5.9
102,0.9,1.8
103,3.1,6.0
104,5.2,9.8
105,2.1,3.9
106,2.8,5.9
107,3.5,7.1
108,2.5,4.8
109,4.3,9.3
110,1.2,2.4
111,3.6,6.6
112,2.6,4.6
113,0.7,2.1
114,4.4,8.1
115,2.4,4.5
116,2.4,5.0
117,2.3,5.8
118,2.2,4.1
119,3.8,8.5
120,3.3,5.5
121,2.2,3.7
122,0.6,1.2
123,0.6,1.1
124,1.9,3.5
125,3.5,8.0
126,2.6,5.2
127,2.3,4.3
128,1.7,3.7
129,3.8,6.4
130,4.1,7.3
131,1.2,2.1
132,4.0,7.9
133,0.6,1.5
134,1.7,2.5
135,5.8,10.2
136,3.2,4.7
137,5.3,9.1
138,4.3,8.3
139,6.8,10.8
140,1.7,3.8
141,3.7,7.9
142,2.1,4.1
143,5.9,9.8
144,0.7,1.7
145,2.3,4.2
146,2.9,5.9
147,2.3,4.5
148,3.8,6.6
149,3.4,6.2
150,5.4,9.3
151,2.7,4.4
152,2.5,4.2
153,4.1,8.1
154,2.8,5.9
155,1.9,4.4
156,3.8,7.9
157,2.9,4.3
158,5.3,8.1
159,2.9,4.4
160,4.6,7.1
161,3.5,5.8
162,2.7,5.3
163,6.1,10.1
164,4.8,8.0
165,3.4,6.0
166,0.6,1.0
167,4.0,6.8
168,2.4,4.7
169,5.7,9.7
170,3.2,5.6
171,1.8,4.2
172,4.2,7.6
173,1.7,2.9
174,2.8,5.4
175,3.9,7.0
176,2.5,4.1
177,1.0,1.9
178,3.0,6.7
179,3.0,6.3
180,5.0,8.1
181,2.3,4.1
182,1.6,3.6
183,2.5,4.4
184,4.1,7.1
185,7.1,12.1
186,4.0,8.7
187,2.5,4.4
188,6.4,11.2
189,4.4,8.0
190,2.3,4.3
191,3.2,4.8
192,5.8,10.4
193,2.1,3.8
194,2.5,5.5
195,0.9,1.5
196,1.7,2.9
197,4.3,7.7
198,4.3,6.7
199,3.9,6.8
200,1.5,3.5
201,6.3,10.6
