vehicle id,anaysis_travel_distance,anaysis_travel_time
202,2.1,4.2
203,2.8,5.1
204,3.3,7.2
205,2.2,5.1
206,1.1,2.3
207,1.8,2.8
208,5.4,10.2
209,2.6,5.4
210,3.3,6.8
211,6.6,11.1
212,5.6,9.2
213,4.1,7.0
214,1.8,3.4
215,2.1,4.7
216,2.3,5.3
217,0.4,1.1
218,3.1,5.7
219,4.0,6.6
220,5.2,8.8
221,3.2,7.1
222,2.4,4.0
223,1.5,3.1
224,2.2,4.4
225,4.9,8.3
226,2.5,4.8
227,3.8,8.1
228,3.0,6.2
229,4.6,7.0
230,2.0,3.3
231,3.5,6.2
232,4.4,8.9
233,5.9,10.2
234,2.5,3.9
235,3.7,7.3
236,2.8,4.8
237,2.0,2.9
238,0.5,1.4
239,2.0,2.9
240,4.4,9.5
241,2.9,5.8
242,5.0,7.5
243,2.1,4.3
244,3.3,5.6
245,1.8,2.8
246,2.9,4.8
247,1.6,2.6
248,2.3,4.6
249,2.1,4.0
250,3.4,5.3
251,3.1,5.2
252,2.3,5.0
253,0.6,1.1
254,3.5,7.9
255,2.3,5.5
256,3.8,6.9
257,4.0,8.2
258,1.2,2.2
259,2.3,4.4
260,1.7,4.1
261,3.2,4.6
262,1.4,3.4
263,4.8,8.0
264,2.9,6.5
265,1.7,2.5
266,2.3,4.9
267,5.8,10.6
268,3.1,5.1
269,3.0,5.3
270,5.8,10.3
271,1.6,3.2
272,0.6,1.2
273,5.0,8.5
274,4.0,8.5
275,3.6,6.5
276,5.0,8.0
277,3.4,7.0
278,2.7,4.2
279,0.8,1.6
280,2.7,4.2
281,0.5,1.6
282,5.6,9.1
283,3.2,5.1
284,1.3,2.8
285,2.2,4.3
286,0.8,1.8
287,2.1,3.6
288,4.8,8.5
289,1.3,2.8
290,0.8,1.6
291,3.9,6.7
292,0.7,1.4
293,1.1,2.1
294,3.4,5.3
295,2.8,4.9
296,4.2,8.9
297,1.0,2.4
298,2.6,5.8
299,6.9,12.3
300,1.0,1.9
301,2.7,4.7
302,4.0,8.4
303,2.6,4.8
304,5.1,9.3
305,4.1,8.3
306,5.3,7.9
307,4.3,7.8
308,5.4,9.9
309,0.9,2.1
310,0.8,1.8
311,2.6,5.4
312,3.9,6.5
313,4.1,7.0
314,4.5,6.9
315,1.2,2.2
316,1.9,3.2
317,3.4,6.7
318,2.0,3.2
319,3.0,5.5
320,3.2,5.5
321,4.5,8.5
322,4.8,8.1
323,1.5,3.2
324,5.9,10.6
325,3.9,6.4
326,2.9,6.5
327,2.8,4.8
328,0.9,2.1
329,5.4,9.1
330,6.2,10.8
331,3.4,5.5
332,2.3,5.1
333,2.3,4.3
334,3.2,4.8
335,3.1,6.2
336,5.3,8.7
337,1.6,3.1
338,2.5,5.8
339,2.9,5.5
340,5.1,8.9
341,3.6,7.7
342,6.6,10.3
343,2.9,6.4
344,2.3,4.0
345,1.0,2.7
346,1.8,4.2
347,3.5,8.1
348,1.3,2.4
349,2.9,5.8
350,2.1,3.9
351,3.2,6.3
352,5.6,9.0
353,2.4,5.5
354,1.9,4.6
355,1.6,3.1
356,2.3,4.6
357,0.9,1.8
358,1.0,2.2
359,2.1,4.2
360,2.1,4.0
361,2.5,4.6
362,2.8,5.8
363,4.3,7.5
364,5.3,9.8
365,5.0,8.8
366,3.3,6.8
367,3.1,6.9
368,1.2,2.5
369,4.8,8.2
370,0.6,1.1
371,0.6,1.0
372,1.4,2.7
373,2.4,5.0
374,2.4,4.6
375,4.0,9.3
376,0.7,2.0
377,4.3,8.0
378,1.0,2.9
379,2.5,5.3
380,3.5,7.8
381,2.0,4.4
382,2.2,4.1
383,2.3,5.5
384,2.9,5.9
385,3.4,5.8
386,3.3,7.5
387,6.3,11.0
388,2.1,4.0
389,0.6,1.1
390,0.6,1.1
391,2.2,3.7
392,1.3,2.6
393,5.4,10.4
394,1.8,2.8
395,4.3,8.0
396,2.6,5.1
397,0.9,2.0
398,3.5,7.3
399,2.3,4.2
400,4.0,7.9
401,0.7,1.4
402,3.5,7.8
403,3.9,6.7
404,3.4,7.2
405,1.2,2.2
406,1.7,4.0
407,4.9,9.3
408,4.1,7.0
409,3.3,7.1
410,0.6,1.6
411,0.5,1.5
412,3.2,4.7
413,6.6,10.6
414,1.7,2.5
415,4.8,8.0
416,3.7,8.0
417,4.3,9.0
418,1.7,3.7
419,6.8,11.0
420,2.1,4.0
421,0.4,1.1
422,2.3,3.6
423,2.0,3.9
424,1.6,3.7
425,5.9,9.9
426,2.7,4.7
427,4.7,11.2
428,3.6,6.5
429,0.7,1.5
430,2.3,3.9
431,2.2,4.7
432,2.9,5.2
433,0.7,1.6
434,2.5,4.8
435,1.0,2.0
436,3.4,6.3
437,4.3,8.2
438,2.0,3.3
439,3.8,7.2
440,5.4,9.2
441,2.3,4.3
442,2.6,4.5
443,2.9,6.2
444,2.3,4.3
445,2.3,3.8
446,1.5,2.3
447,3.7,6.5
448,2.7,4.8
449,3.8,6.4
450,4.4,9.7
451,2.1,3.8
452,2.5,4.1
453,3.9,6.5
454,2.8,5.2
455,3.7,8.1
456,4.5,8.3
457,4.1,7.9
458,3.8,8.3
459,1.0,2.8
460,1.3,2.6
461,2.9,4.3
462,1.5,2.2
463,5.3,8.4
464,2.1,4.1
465,3.0,5.0
466,1.8,3.4
467,3.1,6.8
468,3.2,4.7
469,2.9,4.2
470,1.0,1.8
471,0.9,2.0
472,2.3,4.1
473,3.0,5.2
474,5.0,7.7
475,2.5,5.1
476,5.4,9.9
477,2.0,3.6
478,1.6,2.6
479,3.4,5.3
480,2.9,4.9
481,2.1,4.5
482,2.8,5.6
483,6.1,10.4
484,3.5,5.9
485,2.3,4.4
486,2.8,6.4
487,1.9,3.4
488,1.9,3.6
489,4.4,7.7
490,6.0,10.2
491,4.6,7.3
492,3.2,4.6
493,1.8,4.1
494,4.8,8.0
495,2.5,4.5
496,3.4,6.9
497,0.8,1.5
498,3.7,7.6
499,0.6,1.0
500,5.0,8.5
501,5.4,8.5
502,3.2,5.6
503,4.0,7.2
504,2.4,4.4
505,1.8,4.2
506,5.7,10.0
507,5.0,8.1
508,3.4,7.7
509,2.6,5.3
510,4.1,7.3
511,3.3,7.2
512,4.2,7.6
513,4.8,8.5
514,5.1,8.0
515,0.5,1.5
516,5.1,7.6
517,3.2,5.1
518,1.0,1.9
519,5.6,8.9
520,4.3,7.6
521,1.0,2.2
522,3.9,7.0
523,2.8,7.1
524,1.7,4.0
525,4.7,7.8
526,1.5,2.8
527,2.2,5.1
528,5.6,9.5
529,2.1,4.3
530,1.5,2.8
531,2.5,5.5
532,1.2,2.9
533,6.2,12.4
534,2.2,4.3
535,1.7,3.0
536,2.8,5.4
537,2.2,4.1
538,1.7,4.3
539,3.9,7.3
540,0.7,1.4
541,5.6,10.1
542,3.4,5.3
543,3.2,5.6
544,2.3,4.2
545,2.8,4.9
546,2.0,3.2
547,0.9,2.1
548,2.7,6.2
549,3.0,6.3
550,2.5,4.0
551,2.5,4.9
552,2.5,4.0
553,2.0,4.3
554,3.0,6.7
555,0.9,2.2
556,5.0,8.4
557,2.6,5.3
558,2.3,4.0
559,1.7,3.5
560,2.5,5.0
561,1.1,2.1
562,2.5,4.9
563,5.2,8.4
564,2.0,4.7
565,4.8,10.5
566,3.2,6.4
567,3.2,6.8
568,0.7,2.0
569,2.1,3.8
570,1.5,3.5
571,3.4,5.9
572,0.6,1.3
573,6.5,11.3
574,4.1,7.7
575,4.0,9.2
576,2.5,4.4
577,2.5,4.4
578,7.1,12.5
579,3.0,6.1
580,2.3,4.1
581,4.3,8.1
582,4.3,7.8
583,2.3,4.3
584,4.0,8.7
585,1.2,2.2
586,3.8,6.8
587,4.5,7.8
588,3.7,6.0
589,0.9,1.9
590,1.0,2.2
591,5.7,10.7
592,5.5,10.0
593,1.7,2.6
594,3.8,7.6
595,6.6,10.9
596,1.2,2.0
597,2.1,4.3
598,1.4,3.1
599,1.5,3.3
600,1.2,2.0
601,4.0,10.3
602,3.2,4.6
603,1.2,2.2
604,2.5,5.4
605,3.0,6.1
606,1.9,3.4
607,3.0,5.6
608,3.8,9.1
609,4.3,6.8
610,4.2,8.2
611,1.8,3.3
612,0.9,1.6
613,5.9,10.5
614,3.9,7.0
615,3.4,6.4
616,3.1,6.6
617,2.2,5.0
618,3.3,8.3
619,2.8,5.2
620,4.6,7.5
621,1.1,2.6
622,2.6,6.0
623,3.8,8.3
624,3.5,7.1
625,2.1,4.3
626,1.3,2.7
627,6.1,10.3
628,3.5,6.0
629,1.1,2.5
630,5.9,9.5
631,2.3,5.4
632,1.0,2.7
633,5.4,9.7
634,2.2,4.8
635,4.6,7.6
636,6.3,11.3
637,4.0,6.2
638,6.1,10.4
639,1.8,2.8
640,4.8,8.4
641,2.1,4.4
642,3.1,6.5
643,2.6,5.4
644,0.6,1.0
645,6.6,12.1
646,5.6,9.5
647,4.1,7.1
648,1.8,3.8
649,3.3,7.3
650,2.0,4.9
651,4.7,10.5
652,4.8,7.9
653,2.1,4.7
654,2.1,4.7
655,4.1,8.6
656,5.7,10.8
657,1.5,2.7
658,0.7,2.1
659,1.9,3.7
660,0.4,1.1
661,4.8,8.5
662,2.1,3.8
663,1.9,3.2
664,0.5,1.4
665,3.7,6.0
666,5.3,8.2
667,2.3,4.7
668,3.2,4.6
669,1.5,3.1
670,5.2,8.6
671,4.0,6.4
672,2.4,4.0
673,3.1,5.8
674,3.2,7.1
675,2.1,4.1
676,2.5,4.5
677,5.3,10.3
678,2.8,6.1
679,4.3,7.6
680,4.0,7.2
681,2.5,5.3
682,1.1,2.6
683,3.6,6.5
684,3.8,6.4
685,5.2,10.1
686,0.9,2.2
687,1.6,2.5
688,4.6,7.2
689,2.1,4.0
690,1.2,2.5
691,2.0,3.2
692,2.2,4.4
693,1.0,2.1
694,4.6,9.9
695,3.5,7.7
696,5.3,9.8
697,4.8,9.5
698,3.4,7.6
699,0.7,2.0
700,2.4,5.5
701,4.4,8.7
702,2.4,4.4
703,2.3,5.5
704,2.0,3.0
705,4.1,7.8
706,5.9,11.1
707,2.0,3.0
708,0.5,1.4
709,2.5,4.1
710,2.8,5.0
711,1.1,3.2
712,2.2,4.1
713,2.3,5.5
714,2.3,4.7
715,5.0,7.7
716,2.1,4.5
717,3.3,5.8
718,2.8,5.2
719,2.1,4.9
720,1.8,2.8
721,0.6,1.2
722,2.2,4.3
723,4.7,7.8
724,3.1,5.2
725,3.2,6.2
726,2.5,5.5
727,1.1,2.1
728,1.5,3.0
729,2.3,4.8
730,2.9,4.8
731,2.2,4.3
732,1.6,2.5
733,3.4,5.3
734,2.2,3.7
735,1.3,2.7
736,2.6,5.2
737,3.1,6.1
738,5.5,9.6
739,2.3,5.0
740,0.6,1.1
741,2.1,4.2
742,1.7,3.0
743,4.0,8.5
744,5.9,11.4
745,5.0,9.2
746,4.3,7.9
747,2.6,5.5
748,4.1,7.0
749,0.6,1.9
750,2.3,4.5
751,1.2,2.2
752,3.8,7.1
753,4.0,9.2
754,1.9,4.0
755,2.1,4.1
756,1.1,2.6
757,3.1,5.2
758,5.7,10.0
759,2.9,6.8
760,3.2,4.8
761,3.0,5.3
762,6.6,10.9
763,2.3,5.3
764,1.4,3.8
765,1.7,2.7
766,4.8,8.5
767,3.9,6.9
768,2.3,4.0
769,0.6,1.1
770,6.8,11.3
771,1.7,3.7
772,4.3,9.4
773,3.7,9.0
774,5.0,9.5
775,2.9,5.7
776,4.2,6.4
777,5.0,7.9
778,3.4,6.8
779,2.7,4.2
780,5.2,8.6
781,3.2,5.0
782,1.0,2.3
783,3.5,6.4
784,6.0,12.4
785,2.8,6.3
786,2.9,5.4
787,2.1,4.8
788,2.1,4.0
789,1.7,2.8
790,3.0,6.0
791,2.2,3.9
792,0.9,2.1
793,0.8,1.5
794,2.8,6.1
795,6.0,13.3
796,4.2,6.3
797,3.4,5.7
798,4.7,7.3
799,2.7,4.1
800,4.0,7.4
801,4.8,8.3
802,4.7,7.1
803,2.3,3.8
804,5.9,10.2
805,4.3,7.1
806,2.8,4.7
807,3.4,7.8
808,2.8,4.9
809,2.8,4.9
810,5.6,9.0
811,3.6,8.7
812,0.7,1.5
813,1.2,3.2
814,2.2,4.2
815,0.8,1.7
816,2.1,3.6
817,4.8,9.1
818,1.3,2.7
819,3.2,5.0
820,0.8,1.8
821,5.4,9.5
822,2.4,4.5
823,3.6,7.6
824,3.4,6.4
825,2.9,6.4
826,3.7,6.7
827,2.7,4.7
828,1.1,2.4
829,3.9,7.3
830,0.7,1.4
831,1.0,2.8
832,3.8,6.4
833,1.1,2.4
834,2.3,4.0
835,1.9,3.3
836,1.1,2.1
837,5.4,8.6
838,2.8,4.9
839,4.0,8.7
840,1.0,2.5
841,2.3,4.0
842,2.1,4.1
843,2.6,5.6
844,1.0,1.8
845,0.4,1.2
846,1.3,2.6
847,4.2,9.3
848,2.6,6.2
849,2.8,5.7
850,3.7,6.5
851,0.6,1.0
852,3.4,6.3
853,5.0,8.4
854,2.6,5.2
855,3.4,5.5
856,2.7,4.8
857,4.3,7.5
858,3.0,5.9
859,1.6,3.9
860,5.4,8.8
861,0.5,1.4
862,1.2,2.2
863,4.8,7.9
864,6.2,11.2
865,1.2,2.5
866,1.3,2.8
867,4.0,7.4
868,2.6,5.2
869,6.9,13.6
870,2.7,6.1
871,2.5,4.1
872,5.0,11.3
873,2.3,4.7
874,4.5,8.5
875,3.6,9.0
876,6.3,11.7
877,3.2,7.9
878,2.1,4.5
879,3.2,4.7
880,2.7,5.1
881,3.6,8.1
882,2.9,4.2
883,2.9,4.7
884,5.3,8.1
885,3.8,8.8
886,3.4,6.7
887,3.4,8.1
888,1.8,2.9
889,5.4,11.3
890,3.9,6.7
891,2.6,5.6
892,0.8,1.8
893,5.0,10.8
894,4.3,8.2
895,0.9,2.0
896,2.8,4.9
897,2.7,6.2
898,5.4,8.6
899,5.6,9.6
900,4.1,7.2
901,3.3,7.5
902,3.0,7.1
903,2.7,5.7
904,3.5,5.8
905,5.3,11.1
906,2.0,4.3
907,1.2,2.1
908,3.8,6.6
909,4.0,8.4
910,2.3,4.2
911,4.9,10.0
912,0.5,1.5
913,4.8,9.0
914,3.9,6.9
915,1.5,3.3
916,2.1,4.8
917,4.6,9.4
918,3.2,5.1
919,4.8,8.3
920,3.2,5.4
921,3.4,6.8
922,2.1,4.4
923,2.8,4.8
924,1.0,2.4
925,1.9,3.2
926,4.3,6.8
927,2.5,5.9
928,3.5,5.2
929,2.6,4.7
930,3.5,8.3
931,5.3,9.2
932,5.0,12.4
933,1.0,2.6
934,2.3,4.6
935,2.0,3.1
936,2.7,4.8
937,4.5,8.8
938,1.0,2.6
939,5.0,8.5
940,2.6,6.0
941,1.1,2.6
942,5.9,10.3
943,4.5,11.5
944,0.6,1.0
945,3.4,5.8
946,5.9,11.5
947,0.6,1.1
948,3.2,5.6
949,1.8,4.3
950,2.4,4.7
951,4.0,7.9
952,5.8,10.1
953,3.9,6.9
954,4.3,8.7
955,6.1,10.8
956,2.8,4.8
957,5.4,10.3
958,0.9,2.2
959,3.4,5.8
960,2.3,5.5
961,1.2,2.2
962,3.8,7.2
963,2.3,4.6
964,4.0,9.0
965,2.5,5.5
966,2.2,4.8
967,4.3,8.1
968,3.2,4.8
969,1.7,2.6
970,6.6,10.8
971,3.1,6.9
972,2.8,5.0
973,2.0,3.3
974,1.3,2.8
975,4.0,7.1
976,2.2,4.7
977,3.8,8.3
978,4.3,8.1
979,2.9,5.6
980,5.3,12.6
981,4.8,9.7
982,2.2,4.1
983,4.9,8.4
984,5.4,9.8
985,2.8,5.2
986,1.2,2.1
987,4.8,9.9
988,4.0,6.9
989,4.3,8.6
990,3.6,8.4
991,2.5,6.3
992,6.6,10.5
993,1.3,3.6
994,2.1,4.4
995,3.9,9.5
996,1.6,3.7
997,0.6,1.6
998,5.3,9.1
999,4.3,7.3
1000,5.0,8.4
1001,3.7,6.7
1002,1.6,3.4
1003,2.7,4.8
1004,3.0,5.3
1005,0.5,1.5
1006,0.9,1.7
1007,1.7,3.1
1008,4.3,10.3
1009,5.5,9.3
1010,4.9,8.6
1011,4.0,6.9
1012,4.1,8.2
1013,2.8,5.0
1014,3.0,6.5
1015,3.0,7.2
1016,2.3,4.1
1017,1.0,1.9
1018,5.0,8.3
1019,2.5,4.1
1020,3.3,7.7
1021,2.6,5.9
1022,2.1,4.5
1023,5.0,7.5
1024,5.1,9.3
1025,4.1,7.1
1026,2.9,5.4
1027,1.3,2.4
1028,5.6,8.5
1029,2.2,5.9
1030,3.2,7.4
1031,3.4,9.0
1032,1.6,3.1
1033,2.3,4.7
1034,2.1,3.9
1035,1.9,4.6
1036,1.8,4.4
1037,0.9,1.7
1038,3.4,5.4
1039,1.6,2.6
1040,2.9,4.9
1041,6.3,14.8
1042,2.5,4.4
1043,4.0,10.0
1044,6.4,11.6
1045,2.5,4.5
1046,4.1,8.4
1047,1.5,3.8
1048,3.5,7.5
1049,4.3,10.6
1050,2.5,4.8
1051,2.8,6.7
1052,2.3,4.8
1053,2.4,4.4
1054,2.7,4.7
1055,2.5,5.9
1056,1.5,3.1
1057,1.2,2.4
1058,2.6,6.0
1059,2.1,4.1
1060,2.7,5.3
1061,3.2,4.6
1062,0.6,1.1
1063,5.8,10.1
1064,2.5,5.3
1065,3.7,6.5
1066,3.5,7.1
1067,0.6,1.0
1068,4.5,13.1
1069,5.0,9.3
1070,4.8,8.9
1071,3.1,6.6
1072,4.8,9.1
1073,2.4,6.3
1074,2.5,5.3
1075,0.6,1.1
1076,4.5,9.0
1077,5.0,9.8
1078,3.1,7.7
1079,2.6,7.4
1080,4.4,9.3
1081,2.4,5.7
1082,2.4,4.5
1083,0.7,2.0
1084,5.3,8.2
1085,1.7,3.2
1086,4.2,7.8
1087,0.9,1.6
1088,4.3,6.8
1089,5.0,8.0
1090,3.4,7.5
1091,3.5,9.2
1092,2.0,4.7
1093,2.3,5.4
1094,2.2,4.0
1095,2.9,5.8
1096,5.2,11.9
1097,3.9,7.5
1098,5.6,8.9
1099,3.3,6.0
1100,3.3,8.5
1101,2.8,5.3
1102,2.1,4.6
1103,6.3,12.0
1104,2.2,5.5
1105,2.2,3.8
1106,0.6,1.3
1107,0.6,1.0
1108,3.2,8.5
1109,2.2,4.2
1110,2.9,5.6
1111,0.5,1.5
1112,6.1,10.5
1113,1.8,2.8
1114,3.5,8.9
1115,2.6,6.0
1116,3.0,6.7
1117,3.8,6.1
1118,3.8,10.0
1119,5.6,9.5
1120,1.8,3.2
1121,2.3,3.8
1122,3.8,7.7
1123,2.4,5.9
1124,4.8,8.5
1125,4.0,8.1
1126,4.1,7.2
1127,2.1,4.1
1128,4.0,9.2
1129,1.9,3.3
1130,1.8,3.4
1131,3.5,8.5
1132,3.4,7.3
1133,2.7,4.5
1134,1.3,2.6
1135,0.6,1.6
1136,1.0,2.8
1137,2.1,5.1
1138,1.8,3.2
1139,6.6,12.8
1140,1.7,4.3
1141,0.7,1.5
1142,2.3,4.4
1143,4.3,7.0
1144,1.2,2.1
1145,0.8,1.8
1146,3.8,9.0
1147,0.8,1.6
1148,2.4,4.2
1149,4.3,7.1
1150,0.7,1.7
1151,2.4,6.1
1152,3.3,7.8
1153,2.3,4.8
1154,0.7,1.4
1155,2.1,4.2
1156,0.9,2.1
1157,5.3,9.6
1158,3.9,7.2
1159,2.3,6.0
1160,6.6,11.0
1161,3.2,4.8
1162,1.7,2.7
1163,2.8,5.2
1164,2.6,6.3
1165,3.4,5.5
1166,1.7,3.7
1167,3.7,8.7
1168,6.8,11.6
1169,4.3,10.0
1170,5.4,9.1
1171,0.4,1.1
1172,1.9,4.4
1173,3.4,6.6
1174,4.8,10.3
1175,3.4,6.5
1176,2.0,3.8
1177,0.8,1.5
1178,4.7,14.8
1179,1.6,3.7
1180,2.8,4.8
1181,2.1,4.1
1182,5.9,10.8
1183,2.3,3.7
1184,0.4,1.0
1185,2.3,3.7
1186,1.7,2.8
1187,4.3,8.6
1188,4.8,9.3
1189,2.4,4.0
1190,2.1,4.5
1191,5.1,8.7
1192,3.1,6.8
1193,4.0,6.6
1194,1.5,3.6
1195,3.2,7.4
1196,0.6,1.0
1197,0.8,1.5
1198,1.2,2.1
1199,2.1,4.2
1200,2.5,5.3
1201,3.3,6.3
1202,6.8,11.7
1203,3.3,6.2
1204,2.2,4.5
1205,3.9,10.8
1206,5.7,10.4
1207,5.2,10.4
1208,2.3,4.0
1209,2.8,4.9
1210,3.8,6.0
1211,2.6,4.5
1212,4.6,7.0
1213,3.8,6.5
1214,1.7,2.5
1215,2.3,4.4
1216,3.5,5.3
1217,5.3,9.8
1218,5.5,9.9
1219,5.7,13.7
1220,3.4,6.5
1221,3.3,5.7
1222,1.5,3.3
1223,1.0,1.9
1224,5.8,10.7
1225,4.7,8.3
1226,2.3,4.8
1227,3.4,6.9
1228,5.4,9.4
1229,1.0,2.8
1230,2.9,6.3
1231,3.7,6.6
1232,1.5,2.3
1233,2.3,4.6
1234,2.7,4.6
1235,5.0,8.6
1236,1.5,3.3
1237,1.5,3.1
1238,6.2,12.2
1239,3.5,9.7
1240,1.9,3.5
1241,2.0,3.2
1242,2.3,4.1
1243,1.0,2.1
1244,1.9,3.4
1245,3.6,10.5
1246,3.6,6.7
1247,1.2,3.0
1248,2.5,4.8
1249,3.2,4.7
1250,4.8,10.3
1251,5.9,12.2
1252,3.0,6.0
1253,0.9,1.9
1254,2.6,6.0
1255,2.5,4.2
1256,1.0,2.9
1257,3.9,8.0
1258,4.1,7.5
1259,2.8,4.9
1260,5.9,12.0
1261,2.5,4.1
1262,2.0,3.3
1263,2.0,3.1
1264,0.5,1.4
1265,3.7,8.1
1266,4.1,8.7
1267,2.3,5.7
1268,5.4,10.6
1269,6.1,10.9
1270,1.5,2.2
1271,2.5,5.9
1272,1.0,1.8
1273,1.0,2.8
1274,3.0,4.9
1275,3.2,4.7
1276,2.9,4.3
1277,2.3,4.2
1278,1.4,3.2
1279,5.0,7.6
1280,0.9,1.9
1281,2.0,3.7
1282,5.3,9.4
1283,4.1,8.4
1284,3.0,5.3
1285,2.9,4.6
1286,2.7,6.3
1287,1.8,3.8
1288,3.8,9.7
1289,5.3,8.2
1290,2.1,4.8
1291,4.0,7.3
1292,3.4,6.2
1293,3.1,7.2
1294,1.7,4.1
1295,3.9,8.5
1296,2.5,5.5
1297,3.4,5.3
1298,2.9,4.8
1299,2.1,4.0
1300,3.1,5.2
1301,0.6,1.3
1302,2.3,4.8
1303,2.3,5.3
1304,1.8,2.8
1305,1.6,2.6
1306,3.5,5.9
1307,6.1,10.9
1308,2.7,5.6
1309,4.3,8.9
1310,2.4,6.0
1311,3.8,7.7
1312,1.2,2.2
1313,4.0,9.6
1314,2.3,4.9
1315,3.4,7.7
1316,3.2,10.0
1317,0.5,1.4
1318,2.1,5.0
1319,2.5,5.3
1320,3.4,6.8
1321,0.8,1.5
1322,4.5,7.3
1323,2.1,4.7
1324,5.6,10.3
1325,4.6,7.2
1326,4.5,7.2
1327,1.0,1.8
1328,1.1,2.7
1329,2.3,4.7
1330,1.6,4.0
1331,4.8,7.9
1332,4.4,7.9
1333,3.0,7.0
1334,2.3,5.9
1335,3.4,5.5
1336,1.6,2.8
1337,1.1,2.1
1338,1.9,3.3
1339,2.1,4.0
1340,2.9,7.4
1341,4.8,8.9
1342,5.9,10.6
1343,1.8,4.8
1344,1.9,3.9
1345,4.5,7.9
1346,1.4,4.1
1347,2.5,4.4
1348,2.0,4.9
1349,1.9,3.4
1350,1.6,3.1
1351,2.1,3.8
1352,0.9,1.8
1353,1.7,2.5
1354,0.9,1.6
1355,2.1,4.1
1356,6.6,11.1
1357,3.0,5.5
