from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_distance_per_lane,speed,queue_length_percentage,number_of_queued_vehicles,cumulative_arrival_count,cumulative_departure_count,total_energy,total_CO2,total_NOX,total_CO,total_HC,total_PM,total_PM2.5
1,3,1->3,1,450,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,1650,1590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,451,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,1710,1650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,452,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,1770,1710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,453,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,1830,1770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,454,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,1890,1830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,455,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,1950,1890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,456,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2010,1950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,457,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2070,2010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,458,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2130,2070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,459,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2190,2130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
