vehicle_type,vehicle_type_name,PCE,rolling_term_a,rotating_term_b,drag_term_c,source_mass,percentage_of_age_0,percentage_of_age_5,percentage_of_age_10,percentage_of_age_15
1,passenger car,1,0.156461,0.00200193,0.000492646,1.4788,0.059059,0.479479,0.283283,0.178179
2,passenger truck,1.2,0.22112,0.00283757,0.000698282,1.86686,0.029949,0.43372,0.263805,0.272526
3,light commercial truck,2.5,0.235008,0.00303859,0.000747753,2.05979,0.030918,0.442272,0.259693,0.267117
4,single unit short-haul truck,3,0.561933,0,0.00160302,7.64159,0.03994,0.519218,0.234647,0.206195
5,combination long-haul truck,4,2.08126,0,0.00418844,31.4038,0.039991,0.519888,0.23495,0.205171
6,bus,1,,,,,,,,
7,bike,0.2,,,,,,,,
8,pedestrian,0.2,,,,,,,,
9,train,1,,,,,,,,
10,user_defined,,,,,,,,,
