agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,1,2,1,2,420.02,431.00,10.98,1,1,10.00,1,0,11.00,
1,1,1,2,1,2,420.03,431.10,11.07,1,1,10.00,1,0,11.00,
2,2,1,2,1,2,420.05,431.10,11.05,1,1,10.00,1,0,11.00,
3,3,1,2,1,2,420.07,431.10,11.03,1,1,10.00,1,0,11.00,
4,4,1,2,1,2,420.08,431.10,11.02,1,1,10.00,1,0,11.00,
5,5,1,2,1,2,420.10,431.10,11.00,1,1,10.00,1,0,11.00,
6,6,1,2,1,2,420.12,431.10,10.98,1,1,10.00,1,0,11.00,
7,7,1,2,1,2,420.13,431.20,11.07,1,1,10.00,1,0,11.00,
8,8,1,2,1,2,420.15,431.20,11.05,1,1,10.00,1,0,11.00,
9,9,1,2,1,2,420.17,431.20,11.03,1,1,10.00,1,0,11.00,
10,10,1,2,1,2,420.18,431.20,11.02,1,1,10.00,1,0,11.00,
11,11,1,2,1,2,420.20,431.20,11.00,1,1,10.00,1,0,11.00,
12,12,1,2,1,2,420.22,431.20,10.98,1,1,10.00,1,0,11.00,
13,13,1,2,1,2,420.23,431.30,11.07,1,1,10.00,1,0,11.00,
14,14,1,2,1,2,420.25,431.30,11.05,1,1,10.00,1,0,11.00,
15,15,1,2,1,2,420.27,431.30,11.03,1,1,10.00,1,0,11.00,
16,16,1,2,1,2,420.28,431.30,11.02,1,1,10.00,1,0,11.00,
17,17,1,2,1,2,420.30,431.30,11.00,1,1,10.00,1,0,11.00,
18,18,1,2,1,2,420.32,431.30,10.98,1,1,10.00,1,0,11.00,
19,19,1,2,1,2,420.33,431.40,11.07,1,1,10.00,1,0,11.00,
20,20,1,2,1,2,420.35,431.40,11.05,1,1,10.00,1,0,11.00,
21,21,1,2,1,2,420.37,431.40,11.03,1,1,10.00,1,0,11.00,
22,22,1,2,1,2,420.38,431.40,11.02,1,1,10.00,1,0,11.00,
23,23,1,2,1,2,420.40,431.40,11.00,1,1,10.00,1,0,11.00,
24,24,1,2,1,2,420.42,431.40,10.98,1,1,10.00,1,0,11.00,
25,25,1,2,1,2,420.43,431.50,11.07,1,1,10.00,1,0,11.00,
26,26,1,2,1,2,420.45,431.50,11.05,1,1,10.00,1,0,11.00,
27,27,1,2,1,2,420.47,431.50,11.03,1,1,10.00,1,0,11.00,
28,28,1,2,1,2,420.48,431.50,11.02,1,1,10.00,1,0,11.00,
29,29,1,2,1,2,420.50,431.50,11.00,1,1,10.00,1,0,11.00,
30,30,1,2,1,2,420.52,431.50,10.98,1,1,10.00,1,0,11.00,
31,31,1,2,1,2,420.53,431.60,11.07,1,1,10.00,1,0,11.00,
32,32,1,2,1,2,420.55,431.60,11.05,1,1,10.00,1,0,11.00,
33,33,1,2,1,2,420.57,431.60,11.03,1,1,10.00,1,0,11.00,
34,34,1,2,1,2,420.58,431.60,11.02,1,1,10.00,1,0,11.00,
35,35,1,2,1,2,420.60,431.60,11.00,1,1,10.00,1,0,11.00,
36,36,1,2,1,2,420.62,431.60,10.98,1,1,10.00,1,0,11.00,
37,37,1,2,1,2,420.63,431.70,11.07,1,1,10.00,1,0,11.00,
38,38,1,2,1,2,420.65,431.70,11.05,1,1,10.00,1,0,11.00,
