time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
420,60,0,60,60,11.0251,
421,120,0,120,60,11.0252,
422,180,0,180,60,11.0253,
423,240,0,240,60,11.0255,
424,300,0,300,60,11.0256,
425,360,0,360,60,11.0258,
426,420,0,420,60,11.0259,
427,480,0,480,60,11.026,
428,540,0,540,60,11.0262,
429,600,0,600,60,11.0263,
430,660,0,660,60,11.0265,
431,720,55,665,60,11.0266,
432,780,115,665,60,11.0267,
433,840,175,665,60,11.0269,
434,900,235,665,60,11.027,
435,960,295,665,60,11.0272,
436,1020,355,665,60,11.0273,
437,1080,415,665,60,11.0274,
438,1140,475,665,60,11.0276,
439,1200,535,665,60,11.0277,
440,1260,595,665,60,11.0278,
441,1320,655,665,60,11.028,
442,1380,715,665,60,11.0281,
443,1440,775,665,60,11.0283,
444,1500,835,665,60,11.0284,
445,1560,895,665,60,11.0285,
446,1620,955,665,60,11.0287,
447,1680,1015,665,60,11.0288,
448,1740,1075,665,60,11.029,
449,1800,1135,665,60,11.0291,
450,1860,1195,665,60,11.0292,
451,1920,1255,665,60,11.0294,
452,1980,1315,665,60,11.0295,
453,2040,1375,665,60,11.0297,
454,2100,1435,665,60,11.0298,
455,2160,1495,665,60,11.0299,
456,2220,1555,665,60,11.0301,
457,2280,1615,665,60,11.0302,
458,2340,1675,665,60,11.0303,
459,2400,1735,665,60,11.0305,
460,2460,1795,665,60,11.0306,
461,2520,1855,665,60,11.0308,
462,2580,1915,665,60,11.0309,
463,2640,1975,665,60,11.031,
464,2700,2035,665,60,11.0312,
465,2760,2095,665,60,11.0313,
466,2820,2155,665,60,11.0315,
467,2880,2215,665,60,11.0316,
468,2940,2275,665,60,11.0317,
469,3000,2335,665,60,11.0319,
470,3060,2395,665,60,11.032,
471,3120,2455,665,60,11.0322,
472,3180,2515,665,60,11.0323,
473,3240,2575,665,60,11.0324,
474,3300,2635,665,60,11.0326,
475,3360,2695,665,60,11.0327,
476,3420,2755,665,60,11.0328,
477,3480,2815,665,60,11.033,
478,3540,2875,665,60,11.0331,
479,3600,2935,665,60,11.0333,
480,3660,2995,665,60,11.0334,
481,3720,3055,665,60,11.0335,
482,3780,3115,665,60,11.0337,
483,3840,3175,665,60,11.0338,
484,3900,3235,665,60,11.034,
485,3960,3295,665,60,11.0341,
486,4020,3355,665,60,11.0342,
487,4080,3415,665,60,11.0344,
488,4140,3475,665,60,11.0345,
489,4200,3535,665,60,11.0347,
490,4260,3595,665,60,11.0348,
491,4320,3655,665,60,11.0349,
492,4380,3715,665,60,11.0351,
493,4440,3775,665,60,11.0352,
494,4500,3835,665,60,11.0353,
495,4560,3895,665,60,11.0355,
496,4620,3955,665,60,11.0356,
497,4680,4015,665,60,11.0358,
498,4740,4075,665,60,11.0359,
499,4800,4135,665,60,11.036,
500,4860,4195,665,60,11.0362,
501,4920,4255,665,60,11.0363,
502,4980,4315,665,60,11.0365,
503,5040,4375,665,60,11.0366,
504,5100,4435,665,60,11.0367,
505,5160,4495,665,60,11.0369,
506,5220,4555,665,60,11.037,
507,5280,4615,665,60,11.0372,
508,5340,4675,665,60,11.0373,
509,5400,4735,665,60,11.0374,
510,5460,4795,665,60,11.0376,
511,5520,4855,665,60,11.0377,
512,5580,4915,665,60,11.0378,
513,5640,4975,665,60,11.038,
514,5700,5035,665,60,11.0381,
515,5760,5095,665,60,11.0383,
516,5820,5155,665,60,11.0267,
517,5880,5215,665,60,11.0252,
518,5940,5275,665,60,11.0253,
519,6000,5335,665,60,11.0255,
520,6060,5395,665,60,11.0256,
521,6120,5455,665,60,11.0258,
522,6180,5515,665,60,11.0259,
523,6240,5575,665,60,11.026,
524,6300,5635,665,60,11.0262,
525,6360,5695,665,60,11.0263,
526,6420,5755,665,60,11.0265,
527,6480,5816,664,60,11.0266,
528,6540,5876,664,60,11.0267,
529,6600,5936,664,60,11.0269,
530,6660,5996,664,60,11.027,
531,6720,6056,664,60,11.0272,
532,6780,6116,664,60,11.0273,
533,6840,6176,664,60,11.0274,
534,6900,6236,664,60,11.0276,
535,6960,6296,664,60,11.0277,
536,7020,6356,664,60,11.0278,
537,7080,6416,664,60,11.028,
538,7140,6476,664,60,11.0281,
539,7200,6536,664,60,11.0283,
540,7200,6596,604,0,0,
541,7200,6656,544,0,0,
542,7200,6716,484,0,0,
543,7200,6776,424,0,0,
544,7200,6836,364,0,0,
545,7200,6896,304,0,0,
546,7200,6956,244,0,0,
547,7200,7016,184,0,0,
548,7200,7076,124,0,0,
549,7200,7136,64,0,0,
550,7200,7196,4,0,0,
551,7200,7200,0,0,0,
