vehicle_type,vehicle_type_name,rolling_term_a,rotating_term_b,drag_term_c,source_mass,PCE,percentage_of_age_0,percentage_of_age_5,percentage_of_age_10,percentage_of_age_15,percentage_of_age_20,percentage_of_age_25,percentage_of_age_30,
1,pc_gas_mn,0.156461,0.00200193,0.000492646,1.4788,1,100,,,,0,0,0,0
2,pc_gas_sm,0.156461,0.00200193,0.000492646,1.4788,1,100,,,,0,0,0,0
3,pc_gas_lg,0.156461,0.00200193,0.000492646,1.4788,1,100,,,,0,0,0,0
4,pc_ds_mn,0.156461,0.00200193,0.000492646,1.4788,1,100,,,,0,0,0,0
5,pc_ds_sm,0.156461,0.00200193,0.000492646,1.4788,1,100,,,,0,0,0,0
6,pc_ds_lg,0.156461,0.00200193,0.000492646,1.4788,1,100,,,,0,0,0,0
7,bus_ds,0.235008,0.00303859,0.000747753,2.05979,3,100,,,,0,0,0,0
8,bus_cng,0.235008,0.00303859,0.000747753,2.05979,3,100,,,,0,0,0,0
9,truck_ds_sm,0.22112,0.00283757,0.000698282,1.86686,2.5,100,,,,0,0,0,0
10,truck_ds_md,0.22112,0.00283757,0.000698282,1.86686,2.5,100,,,,0,0,0,0
11,truck_ds_lg,0.561933,0,0.00160302,7.64159,2.5,100,,,,0,0,0,0
