time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
840,6,0,6,12,46.843,
841,13,0,13,14,48.7823,
842,20,0,20,14,50.8849,
843,26,0,26,12,52.8588,
844,33,0,33,14,54.8041,
845,40,0,40,14,56.921,
846,46,0,46,12,58.8413,
847,53,0,53,14,60.8258,
848,60,0,60,14,62.8642,
849,66,0,66,12,64.8487,
850,73,0,73,14,66.7905,
851,80,0,80,14,68.9217,
852,86,0,86,12,70.8812,
853,93,0,93,14,72.8265,
854,100,0,100,14,74.9434,
855,106,0,106,12,76.9804,
856,113,0,113,14,78.7912,
857,120,0,120,14,80.9152,
858,126,0,126,12,82.8962,
859,133,0,133,14,84.8772,
860,140,0,140,14,87.0013,
861,147,0,147,14,89.0039,
862,153,0,153,12,90.973,
863,160,0,160,14,92.923,
864,167,0,167,14,95.0471,
865,173,0,173,12,96.9638,
866,180,0,180,14,98.8805,
867,187,0,187,14,101.005,
868,193,0,193,12,103.03,
869,200,0,200,14,104.859,
870,207,0,207,14,106.012,
871,213,0,213,12,106.679,
872,220,0,220,14,107.345,
873,227,0,227,14,108.07,
874,233,0,233,12,108.628,
875,240,0,240,14,109.346,
876,247,0,247,14,110.034,
877,253,0,253,12,110.652,
878,260,0,260,14,110.796,
879,267,0,267,14,111.063,
880,274,0,274,14,111.33,
881,280,0,280,12,112.379,
882,287,0,287,14,112.549,
883,294,0,294,14,112.266,
884,300,0,300,12,112.911,
885,307,0,307,14,113.678,
886,314,3,311,14,114.138,
887,320,5,315,12,112.694,
888,327,9,318,14,113.635,
889,334,13,321,14,115.16,
890,340,16,324,12,116.535,
891,347,19,328,14,114.572,
892,354,23,331,14,114.838,
893,360,26,334,12,115.909,
894,367,29,338,14,117.122,
895,374,33,341,14,117.589,
896,380,35,345,12,114.716,
897,387,39,348,14,118.272,
898,394,43,351,14,118.739,
899,400,45,355,12,117.824,
900,400,49,351,0,0,
901,400,53,347,0,0,
902,400,55,345,0,0,
903,400,59,341,0,0,
904,400,63,337,0,0,
905,400,65,335,0,0,
906,400,69,331,0,0,
907,400,73,327,0,0,
908,400,76,324,0,0,
909,400,79,321,0,0,
910,400,83,317,0,0,
911,400,86,314,0,0,
912,400,89,311,0,0,
913,400,93,307,0,0,
914,400,96,304,0,0,
915,400,99,301,0,0,
916,400,103,297,0,0,
917,400,106,294,0,0,
918,400,109,291,0,0,
919,400,113,287,0,0,
920,400,116,284,0,0,
921,400,119,281,0,0,
922,400,123,277,0,0,
923,400,126,274,0,0,
924,400,129,271,0,0,
925,400,133,267,0,0,
926,400,136,264,0,0,
927,400,139,261,0,0,
928,400,143,257,0,0,
929,400,146,254,0,0,
930,400,149,251,0,0,
931,400,153,247,0,0,
932,400,156,244,0,0,
933,400,159,241,0,0,
934,400,163,237,0,0,
935,400,166,234,0,0,
936,400,169,231,0,0,
937,400,173,227,0,0,
938,400,176,224,0,0,
939,400,179,221,0,0,
940,400,183,217,0,0,
941,400,186,214,0,0,
942,400,189,211,0,0,
943,400,193,207,0,0,
944,400,196,204,0,0,
945,400,199,201,0,0,
946,400,203,197,0,0,
947,400,206,194,0,0,
948,400,209,191,0,0,
949,400,213,187,0,0,
950,400,216,184,0,0,
951,400,219,181,0,0,
952,400,223,177,0,0,
953,400,226,174,0,0,
954,400,229,171,0,0,
955,400,233,167,0,0,
956,400,236,164,0,0,
957,400,239,161,0,0,
958,400,243,157,0,0,
959,400,246,154,0,0,
960,400,253,147,0,0,
961,400,260,140,0,0,
962,400,266,134,0,0,
963,400,273,127,0,0,
964,400,280,120,0,0,
965,400,286,114,0,0,
966,400,293,107,0,0,
967,400,300,100,0,0,
968,400,306,94,0,0,
969,400,313,87,0,0,
970,400,320,80,0,0,
971,400,326,74,0,0,
972,400,333,67,0,0,
973,400,340,60,0,0,
974,400,346,54,0,0,
975,400,348,52,0,0,
976,400,350,50,0,0,
977,400,352,48,0,0,
978,400,353,47,0,0,
979,400,355,45,0,0,
980,400,357,43,0,0,
981,400,358,42,0,0,
982,400,360,40,0,0,
983,400,362,38,0,0,
984,400,363,37,0,0,
985,400,365,35,0,0,
986,400,367,33,0,0,
987,400,368,32,0,0,
988,400,370,30,0,0,
989,400,372,28,0,0,
990,400,373,27,0,0,
991,400,375,25,0,0,
992,400,377,23,0,0,
993,400,378,22,0,0,
994,400,380,20,0,0,
995,400,382,18,0,0,
996,400,383,17,0,0,
997,400,385,15,0,0,
998,400,387,13,0,0,
999,400,388,12,0,0,
1000,400,390,10,0,0,
1001,400,392,8,0,0,
1002,400,393,7,0,0,
1003,400,395,5,0,0,
1004,400,397,3,0,0,
1005,400,400,0,0,0,
