agent_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,departure_time,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,number_of_nodes
0,1,2,1,2,0.06,1,1,1,30.00,1,0,3,
1,4,3,4,3,0.06,1,1,1,15.00,1,0,3,
2,3,4,3,4,0.06,1,1,1,10.00,2,0,3,
3,2,1,2,1,0.06,1,1,1,15.00,1,0,3,
4,1,2,1,2,0.12,1,1,1,30.00,2,0,3,
5,2,1,2,1,0.12,1,1,1,1.00,1,0,3,
6,4,3,4,3,0.12,1,1,1,60.00,1,0,3,
7,3,4,3,4,0.12,1,1,1,10.00,1,0,3,
8,1,2,1,2,0.18,1,1,1,10.00,1,0,3,
9,3,4,3,4,0.18,1,1,1,20.00,1,0,3,
10,4,3,4,3,0.18,1,1,1,15.00,2,0,3,
11,2,1,2,1,0.18,1,1,1,10.00,1,0,3,
12,1,2,1,2,0.24,1,1,1,20.00,1,0,3,
13,3,4,3,4,0.24,1,1,1,5.00,1,0,3,
14,4,3,4,3,0.24,1,1,1,10.00,1,0,3,
15,2,1,2,1,0.24,1,1,1,30.00,2,0,3,
16,3,2,3,2,0.30,1,1,1,30.00,1,0,3,
17,1,3,1,3,0.30,1,1,1,10.00,2,0,3,
18,4,1,4,1,0.30,1,1,1,30.00,1,0,3,
19,2,4,2,4,0.30,1,1,1,20.00,1,0,3,
20,1,2,1,2,0.30,1,1,1,30.00,1,0,3,
21,4,3,4,3,0.30,1,1,1,10.00,1,0,3,
22,3,4,3,4,0.30,1,1,1,10.00,1,0,3,
23,2,1,2,1,0.30,1,1,1,30.00,2,0,3,
24,1,2,1,2,0.36,1,1,1,10.00,1,0,3,
25,3,4,3,4,0.36,1,1,1,20.00,1,0,3,
26,2,1,2,1,0.36,1,1,1,1.00,2,0,3,
27,4,3,4,3,0.36,1,1,1,10.00,2,0,3,
28,3,4,3,4,0.42,1,1,1,20.00,2,0,3,
29,4,3,4,3,0.42,1,1,1,30.00,1,0,3,
30,1,2,1,2,0.42,1,1,1,5.00,2,0,3,
31,2,1,2,1,0.42,1,1,1,10.00,1,0,3,
32,1,2,1,2,0.48,1,1,1,1.00,1,0,3,
33,3,4,3,4,0.48,1,1,1,10.00,1,0,3,
34,2,1,2,1,0.48,1,1,1,20.00,1,0,3,
35,4,3,4,3,0.48,1,1,1,20.00,1,0,3,
36,1,2,1,2,0.54,1,1,1,10.00,1,0,3,
37,3,4,3,4,0.54,1,1,1,5.00,1,0,3,
38,4,3,4,3,0.54,1,1,1,20.00,2,0,3,
39,2,1,2,1,0.54,1,1,1,30.00,1,0,3,
40,3,2,3,2,0.60,1,1,1,10.00,1,0,3,
41,2,4,2,4,0.60,1,1,1,20.00,1,0,3,
42,4,1,4,1,0.60,1,1,1,10.00,2,0,3,
43,1,3,1,3,0.60,1,1,1,10.00,2,0,3,
44,1,2,1,2,0.60,1,1,1,30.00,1,0,3,
45,2,1,2,1,0.60,1,1,1,15.00,1,0,3,
46,3,4,3,4,0.60,1,1,1,10.00,1,0,3,
47,4,3,4,3,0.60,1,1,1,30.00,1,0,3,
48,3,4,3,4,0.66,1,1,1,15.00,1,0,3,
49,2,1,2,1,0.66,1,1,1,1.00,1,0,3,
50,1,2,1,2,0.66,1,1,1,10.00,1,0,3,
51,4,3,4,3,0.66,1,1,1,15.00,1,0,3,
52,2,1,2,1,0.72,1,1,1,5.00,2,0,3,
53,3,4,3,4,0.72,1,1,1,30.00,1,0,3,
54,4,3,4,3,0.72,1,1,1,20.00,2,0,3,
55,1,2,1,2,0.72,1,1,1,10.00,1,0,3,
56,1,2,1,2,0.78,1,1,1,10.00,1,0,3,
57,4,3,4,3,0.78,1,1,1,5.00,1,0,3,
58,2,1,2,1,0.78,1,1,1,30.00,2,0,3,
59,3,4,3,4,0.78,1,1,1,5.00,1,0,3,
60,1,2,1,2,0.84,1,1,1,30.00,1,0,3,
61,2,1,2,1,0.84,1,1,1,30.00,1,0,3,
62,4,3,4,3,0.84,1,1,1,10.00,1,0,3,
63,3,4,3,4,0.84,1,1,1,30.00,1,0,3,
64,4,1,4,1,0.90,1,1,1,10.00,1,0,3,
65,3,2,3,2,0.90,1,1,1,20.00,2,0,3,
66,2,4,2,4,0.90,1,1,1,20.00,1,0,3,
67,1,3,1,3,0.90,1,1,1,10.00,1,0,3,
68,1,2,1,2,0.90,1,1,1,30.00,2,0,3,
69,4,3,4,3,0.90,1,1,1,10.00,1,0,3,
70,3,4,3,4,0.90,1,1,1,30.00,1,0,3,
71,2,1,2,1,0.90,1,1,1,10.00,2,0,3,
72,3,4,3,4,0.96,1,1,1,20.00,1,0,3,
73,1,2,1,2,0.96,1,1,1,5.00,1,0,3,
74,4,3,4,3,0.96,1,1,1,20.00,1,0,3,
75,2,1,2,1,0.96,1,1,1,30.00,1,0,3,
76,3,4,3,4,1.02,1,1,1,5.00,1,0,3,
77,1,2,1,2,1.02,1,1,1,10.00,1,0,3,
78,4,3,4,3,1.02,1,1,1,1.00,1,0,3,
79,2,1,2,1,1.02,1,1,1,10.00,1,10,3,
80,1,2,1,2,1.08,1,1,1,30.00,1,0,3,
81,3,4,3,4,1.08,1,1,1,5.00,1,0,3,
82,2,1,2,1,1.08,1,1,1,30.00,2,0,3,
83,4,3,4,3,1.08,1,1,1,10.00,1,0,3,
84,3,4,3,4,1.14,1,1,1,30.00,2,0,3,
85,1,2,1,2,1.14,1,1,1,15.00,1,0,3,
86,2,1,2,1,1.14,1,1,1,30.00,1,0,3,
87,4,3,4,3,1.14,1,1,1,15.00,1,0,3,
88,4,1,4,1,1.19,1,1,1,10.00,2,0,3,
89,1,3,1,3,1.19,1,1,1,10.00,1,0,3,
90,2,4,2,4,1.19,1,1,1,10.00,1,0,3,
91,3,2,3,2,1.19,1,1,1,10.00,1,0,3,
92,3,4,3,4,1.20,1,1,1,10.00,2,0,3,
93,1,2,1,2,1.20,1,1,1,10.00,1,0,3,
94,2,1,2,1,1.20,1,1,1,10.00,1,0,3,
95,4,3,4,3,1.20,1,1,1,10.00,1,0,3,
