from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_mile_per_lane,speed_in_mph,queue_length_percentage,cumulative_arrival_count,cumulative_departure_count,time_dependent_left_arrival_count,time_dependent_left_departure_count,number_of_through_and_right_queued_vehicles,number_of_left_queued_vehicles,cumulative_SOV_revenue,cumulative_HOV_revenue,total_energy,total_CO2,total_NOX,total_CO,total_HC,energy_miles_per_gallon,CO2_per_mile,NOX_per_mile,CO_per_mile,HC_per_mile
1,5,1->5,1,22, 17.44,  0.30, 21.00, 24.00,420.00,1260.00,  0.00,34.40,-2147483648,440,3,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,23, 17.19,  0.05, 19.00, 17.00,380.00,1140.00,  0.00,34.90,0,461,3,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,24, 17.44,  0.30, 20.00, 22.00,400.00,1200.00,  0.00,34.40,-1610612736,480,4,6,2,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,25, 17.19,  0.04, 21.00, 16.00,420.00,1260.00,  0.00,34.91,0,500,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,26, 17.40,  0.25, 19.00, 24.00,380.00,1140.00,  0.00,34.49,-1610612736,521,4,7,4,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,27, 17.20,  0.05, 20.00, 17.00,400.00,1200.00,  0.00,34.89,0,540,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,28, 17.45,  0.31, 21.00, 24.00,420.00,1260.00,  0.00,34.38,-2147483648,560,3,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,29, 17.19,  0.05, 19.00, 16.00,380.00,1140.00,  0.00,34.90,0,581,4,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,30, 17.41,  0.27, 20.00, 23.00,400.00,1200.00,  0.00,34.46,-2147483648,600,3,6,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,31, 17.19,  0.05, 21.00, 17.00,420.00,1260.00,  0.00,34.91,0,620,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,32, 17.41,  0.27, 19.00, 23.00,380.00,1140.00,  0.00,34.46,-2147483648,641,4,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,33, 17.20,  0.06, 20.00, 17.00,400.00,1200.00,  0.00,34.89,0,660,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,34, 17.42,  0.28, 21.00, 24.00,420.00,1260.00,  0.00,34.44,-2147483648,680,3,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
