time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
0,72,20,52,72,5.18789,
1,152,83,69,80,4.77864,
2,228,135,93,76,5.44624,
3,312,198,114,84,4.33452,
4,392,256,136,80,4.93093,
5,468,319,149,76,5.29812,
6,552,377,175,84,4.44846,
7,632,438,194,80,4.79072,
8,708,496,212,76,5.4592,
9,792,560,232,84,4.33501,
10,872,616,256,80,4.94175,
11,948,678,270,76,5.30187,
12,1032,737,295,84,4.47038,
13,1112,798,314,80,4.78529,
14,1188,856,332,76,5.45638,
15,1272,920,352,84,4.34504,
16,1352,976,376,80,4.95132,
17,1432,1040,392,80,5.03159,
18,1512,1129,383,80,4.68567,
19,1592,1201,391,80,4.79111,
20,1676,1288,388,84,4.95916,
21,1752,1360,392,76,5.07412,
22,1832,1447,385,80,4.94154,
23,1916,1522,394,84,4.56491,
24,1992,1611,381,76,5.19626,
25,2072,1680,392,80,4.78443,
26,2156,1771,385,84,4.68852,
27,2232,1842,390,76,5.06051,
28,2312,1928,384,80,4.94106,
29,2396,2002,394,84,4.56451,
30,2472,2091,381,76,5.19449,
31,2552,2161,391,80,4.78769,
32,2636,2251,385,84,4.69883,
33,2712,2322,390,76,5.05216,
34,2792,2408,384,80,4.93807,
35,2876,2483,393,84,4.57481,
36,2952,2571,381,76,5.21773,
37,3036,2640,396,84,4.56996,
38,3116,2731,385,80,4.94334,
39,3192,2802,390,76,5.04382,
40,3276,2890,386,84,4.95132,
41,3356,2962,394,80,4.56558,
42,3436,3050,386,80,5.18216,
43,3516,3125,391,80,4.80743,
44,3596,3211,385,80,4.69396,
45,3676,3283,393,80,5.02269,
46,3756,3375,381,80,4.91721,
47,3836,3445,391,80,4.55485,
48,3916,3531,385,80,5.18073,
49,3996,3606,390,80,4.80325,
50,4076,3692,384,80,4.68574,
51,4156,3764,392,80,5.02376,
52,4236,3855,381,80,4.93678,
53,4316,3924,392,80,4.54537,
54,4396,4012,384,80,5.18804,
55,4476,4086,390,80,4.79532,
56,4556,4173,383,80,4.70376,
57,4640,4244,396,84,4.79031,
58,4716,4335,381,76,5.19353,
59,4796,4405,391,80,4.55339,
60,4800,4469,331,4,0,
61,4800,4482,318,0,0,
62,4800,4512,288,0,0,
63,4800,4523,277,0,0,
64,4800,4553,247,0,0,
65,4800,4562,238,0,0,
66,4800,4593,207,0,0,
67,4800,4603,197,0,0,
68,4800,4633,167,0,0,
69,4800,4642,158,0,0,
70,4800,4673,127,0,0,
71,4800,4682,118,0,0,
72,4800,4713,87,0,0,
73,4800,4722,78,0,0,
74,4800,4753,47,0,0,
75,4800,4763,37,0,0,
76,4800,4793,7,0,0,
77,4800,4799,1,0,0,
78,4800,4800,0,0,0,
