agent_id,from_zone_id,to_zone_id,departure_time,arrival_time,buffer_waiting_time,complete_flag,trip_time,demand_type,pricing_type,vehicle_type,information_type,value_of_time,toll_cost_in_dollar,emissions,distance_in_mile,TotalEnergy_(KJ),CO2_(g),NOX_(g),CO_(g),HC_(g),age,number_of_nodes,VMS_response_info,Evacuation_response_info,path_node_sequence,path_time_sequence,link_travel_time_sequence,path_sequence
33,3,4,0.48,1.70,0.02,1,1.22,1,1,1,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.5; 1.5; 1.7;,1.00;0.20;,"<3;0.50;0;0><5; 1.50;1.00;0.00><4; 1.70;0.20;0.00>"
34,2,1,0.48,0.80,0.02,1,0.32,1,1,1,1,20.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.5; 0.6; 0.8;,0.14;0.16;,"<2;0.50;0;0><5; 0.64;0.14;0.00><1; 0.80;0.16;0.00>"
35,4,3,0.48,0.90,0.02,1,0.42,1,1,1,1,20.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.5; 0.6; 0.9;,0.15;0.25;,"<4;0.50;0;0><5; 0.65;0.15;0.00><3; 0.90;0.25;0.00>"
36,1,2,0.54,18.30,0.06,1,17.76,1,1,1,1,10.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.6;18.0;18.3;,17.40;0.30;,"<1;0.60;0;0><5; 18.00;17.40;0.00><2; 18.30;0.30;0.00>"
37,3,4,0.54,1.80,0.06,1,1.26,1,1,1,1,5.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.6; 1.5; 1.8;,0.90;0.30;,"<3;0.60;0;0><5; 1.50;0.90;0.00><4; 1.80;0.30;0.00>"
38,4,3,0.54,0.90,0.06,1,0.36,1,1,2,1,20.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.6; 0.7; 0.9;,0.11;0.19;,"<4;0.60;0;0><5; 0.71;0.11;0.00><3; 0.90;0.19;0.00>"
39,2,1,0.54,0.90,0.06,1,0.36,1,1,1,1,30.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.6; 0.7; 0.9;,0.10;0.20;,"<2;0.60;0;0><5; 0.70;0.10;0.00><1; 0.90;0.20;0.00>"
40,3,2,0.60,1.70,0.00,1,1.10,1,1,1,1,10.00,0.000,0.000,0.197,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;2;, 0.6; 1.5; 1.7;,0.90;0.20;,"<3;0.60;0;0><5; 1.50;0.90;0.00><2; 1.70;0.20;0.00>"
41,2,4,0.60,1.00,0.00,1,0.40,1,1,1,1,20.00,0.000,0.000,0.193,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;4;, 0.6; 0.8; 1.0;,0.16;0.24;,"<2;0.60;0;0><5; 0.76;0.16;0.00><4; 1.00;0.24;0.00>"
42,4,1,0.60,1.00,0.00,1,0.40,1,1,2,1,10.00,0.000,0.000,0.193,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;1;, 0.6; 0.8; 1.0;,0.17;0.23;,"<4;0.60;0;0><5; 0.77;0.17;0.00><1; 1.00;0.23;0.00>"
43,1,3,0.60,18.20,0.00,1,17.60,1,1,2,1,10.00,0.000,0.000,10.102,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;3;, 0.6;18.0;18.2;,17.40;0.20;,"<1;0.60;0;0><5; 18.00;17.40;0.00><3; 18.20;0.20;0.00>"
44,1,2,0.60,18.30,0.00,1,17.70,1,1,1,1,30.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.6;18.0;18.3;,17.40;0.30;,"<1;0.60;0;0><5; 18.00;17.40;0.00><2; 18.30;0.30;0.00>"
45,2,1,0.60,1.00,0.00,1,0.40,1,1,1,1,15.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.6; 0.8; 1.0;,0.16;0.24;,"<2;0.60;0;0><5; 0.76;0.16;0.00><1; 1.00;0.24;0.00>"
46,3,4,0.60,1.80,0.00,1,1.20,1,1,1,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.6; 1.5; 1.8;,0.90;0.30;,"<3;0.60;0;0><5; 1.50;0.90;0.00><4; 1.80;0.30;0.00>"
47,4,3,0.60,1.00,0.00,1,0.40,1,1,1,1,30.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.6; 0.8; 1.0;,0.17;0.23;,"<4;0.60;0;0><5; 0.77;0.17;0.00><3; 1.00;0.23;0.00>"
48,3,4,0.66,1.80,0.04,1,1.14,1,1,1,1,15.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.7; 1.5; 1.8;,0.80;0.30;,"<3;0.70;0;0><5; 1.50;0.80;0.00><4; 1.80;0.30;0.00>"
49,2,1,0.66,1.00,0.04,1,0.34,1,1,1,1,1.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.7; 0.8; 1.0;,0.12;0.18;,"<2;0.70;0;0><5; 0.82;0.12;0.00><1; 1.00;0.18;0.00>"
50,1,2,0.66,18.30,0.04,1,17.64,1,1,1,1,10.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.7;18.0;18.3;,17.30;0.30;,"<1;0.70;0;0><5; 18.00;17.30;0.00><2; 18.30;0.30;0.00>"
51,4,3,0.66,1.00,0.04,1,0.34,1,1,1,1,15.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.7; 0.8; 1.0;,0.13;0.17;,"<4;0.70;0;0><5; 0.83;0.13;0.00><3; 1.00;0.17;0.00>"
52,2,1,0.72,1.10,-0.02,1,0.38,1,1,2,1,5.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.7; 0.9; 1.1;,0.18;0.22;,"<2;0.70;0;0><5; 0.88;0.18;0.00><1; 1.10;0.22;0.00>"
53,3,4,0.72,1.80,-0.02,1,1.08,1,1,1,1,30.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.7; 1.5; 1.8;,0.80;0.30;,"<3;0.70;0;0><5; 1.50;0.80;0.00><4; 1.80;0.30;0.00>"
54,4,3,0.72,1.10,-0.02,1,0.38,1,1,2,1,20.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.7; 0.9; 1.1;,0.19;0.21;,"<4;0.70;0;0><5; 0.89;0.19;0.00><3; 1.10;0.21;0.00>"
55,1,2,0.72,18.40,-0.02,1,17.68,1,1,1,1,10.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.7;18.1;18.4;,17.40;0.30;,"<1;0.70;0;0><5; 18.10;17.40;0.00><2; 18.40;0.30;0.00>"
56,1,2,0.78,18.40,0.02,1,17.62,1,1,1,1,10.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.8;18.1;18.4;,17.30;0.30;,"<1;0.80;0;0><5; 18.10;17.30;0.00><2; 18.40;0.30;0.00>"
57,4,3,0.78,1.20,0.02,1,0.42,1,1,1,1,5.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.8; 0.9; 1.2;,0.15;0.25;,"<4;0.80;0;0><5; 0.95;0.15;0.00><3; 1.20;0.25;0.00>"
58,2,1,0.78,1.10,0.02,1,0.32,1,1,2,1,30.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.8; 0.9; 1.1;,0.14;0.16;,"<2;0.80;0;0><5; 0.94;0.14;0.00><1; 1.10;0.16;0.00>"
59,3,4,0.78,1.90,0.02,1,1.12,1,1,1,1,5.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.8; 1.5; 1.9;,0.70;0.40;,"<3;0.80;0;0><5; 1.50;0.70;0.00><4; 1.90;0.40;0.00>"
60,1,2,0.84,18.40,0.06,1,17.56,1,1,1,1,30.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.9;18.1;18.4;,17.20;0.30;,"<1;0.90;0;0><5; 18.10;17.20;0.00><2; 18.40;0.30;0.00>"
61,2,1,0.84,1.20,0.06,1,0.36,1,1,1,1,30.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.9; 1.0; 1.2;,0.10;0.20;,"<2;0.90;0;0><5; 1.00;0.10;0.00><1; 1.20;0.20;0.00>"
62,4,3,0.84,1.20,0.06,1,0.36,1,1,1,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.9; 1.0; 1.2;,0.11;0.19;,"<4;0.90;0;0><5; 1.01;0.11;0.00><3; 1.20;0.19;0.00>"
63,3,4,0.84,1.90,0.06,1,1.06,1,1,1,1,30.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.9; 1.6; 1.9;,0.70;0.30;,"<3;0.90;0;0><5; 1.60;0.70;0.00><4; 1.90;0.30;0.00>"
64,4,1,0.90,1.30,0.00,1,0.40,1,1,1,1,10.00,0.000,0.000,0.193,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;1;, 0.9; 1.1; 1.3;,0.16;0.24;,"<4;0.90;0;0><5; 1.06;0.16;0.00><1; 1.30;0.24;0.00>"
65,3,2,0.90,1.80,0.00,1,0.90,1,1,2,1,20.00,0.000,0.000,0.197,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;2;, 0.9; 1.6; 1.8;,0.70;0.20;,"<3;0.90;0;0><5; 1.60;0.70;0.00><2; 1.80;0.20;0.00>"
66,2,4,0.90,1.30,0.00,1,0.40,1,1,1,1,20.00,0.000,0.000,0.193,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;4;, 0.9; 1.1; 1.3;,0.16;0.24;,"<2;0.90;0;0><5; 1.06;0.16;0.00><4; 1.30;0.24;0.00>"
67,1,3,0.90,18.30,0.00,1,17.40,1,1,1,1,10.00,0.000,0.000,10.102,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;3;, 0.9;18.0;18.3;,17.14;0.26;,"<1;0.90;0;0><5; 18.04;17.14;0.00><3; 18.30;0.26;0.00>"
68,1,2,0.90,18.40,0.00,1,17.50,1,1,2,1,30.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.9;18.0;18.4;,17.14;0.36;,"<1;0.90;0;0><5; 18.04;17.14;0.00><2; 18.40;0.36;0.00>"
69,4,3,0.90,1.30,0.00,1,0.40,1,1,1,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.9; 1.1; 1.3;,0.17;0.23;,"<4;0.90;0;0><5; 1.07;0.17;0.00><3; 1.30;0.23;0.00>"
70,3,4,0.90,1.90,0.00,1,1.00,1,1,1,1,30.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.9; 1.6; 1.9;,0.70;0.30;,"<3;0.90;0;0><5; 1.60;0.70;0.00><4; 1.90;0.30;0.00>"
71,2,1,0.90,1.30,0.00,1,0.40,1,1,2,1,10.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.9; 1.1; 1.3;,0.16;0.24;,"<2;0.90;0;0><5; 1.06;0.16;0.00><1; 1.30;0.24;0.00>"
72,3,4,0.96,1.90,0.04,1,0.94,1,1,1,1,20.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 1.0; 1.6; 1.9;,0.60;0.30;,"<3;1.00;0;0><5; 1.60;0.60;0.00><4; 1.90;0.30;0.00>"
73,1,2,0.96,18.50,0.04,1,17.54,1,1,1,1,5.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 1.0;18.1;18.5;,17.10;0.40;,"<1;1.00;0;0><5; 18.10;17.10;0.00><2; 18.50;0.40;0.00>"
74,4,3,0.96,1.30,0.04,1,0.34,1,1,1,1,20.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 1.0; 1.1; 1.3;,0.13;0.17;,"<4;1.00;0;0><5; 1.13;0.13;0.00><3; 1.30;0.17;0.00>"
75,2,1,0.96,1.30,0.04,1,0.34,1,1,1,1,30.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 1.0; 1.1; 1.3;,0.12;0.18;,"<2;1.00;0;0><5; 1.12;0.12;0.00><1; 1.30;0.18;0.00>"
76,3,4,1.02,1.90,-0.02,1,0.88,1,1,1,1,5.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 1.0; 1.6; 1.9;,0.60;0.30;,"<3;1.00;0;0><5; 1.60;0.60;0.00><4; 1.90;0.30;0.00>"
77,1,2,1.02,18.50,-0.02,1,17.48,1,1,1,1,10.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 1.0;18.2;18.5;,17.16;0.34;,"<1;1.00;0;0><5; 18.16;17.16;0.00><2; 18.50;0.34;0.00>"
78,4,3,1.02,1.40,-0.02,1,0.38,1,1,1,1,1.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 1.0; 1.2; 1.4;,0.19;0.21;,"<4;1.00;0;0><5; 1.19;0.19;0.00><3; 1.40;0.21;0.00>"
79,2,1,1.02,1.40,-0.02,1,0.38,1,1,1,1,10.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,10,3,,,2;5;1;, 1.0; 1.2; 1.4;,0.18;0.22;,"<2;1.00;0;0><5; 1.18;0.18;0.00><1; 1.40;0.22;0.00>"
80,1,2,1.08,18.50,0.02,1,17.42,1,1,1,1,30.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 1.1;18.2;18.5;,17.12;0.28;,"<1;1.10;0;0><5; 18.22;17.12;0.00><2; 18.50;0.28;0.00>"
81,3,4,1.08,2.00,0.02,1,0.92,1,1,1,1,5.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 1.1; 1.6; 2.0;,0.50;0.40;,"<3;1.10;0;0><5; 1.60;0.50;0.00><4; 2.00;0.40;0.00>"
82,2,1,1.08,1.40,0.02,1,0.32,1,1,2,1,30.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 1.1; 1.2; 1.4;,0.14;0.16;,"<2;1.10;0;0><5; 1.24;0.14;0.00><1; 1.40;0.16;0.00>"
83,4,3,1.08,1.50,0.02,1,0.42,1,1,1,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 1.1; 1.2; 1.5;,0.15;0.25;,"<4;1.10;0;0><5; 1.25;0.15;0.00><3; 1.50;0.25;0.00>"
84,3,4,1.14,2.00,0.06,1,0.86,1,1,2,1,30.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 1.2; 1.6; 2.0;,0.40;0.40;,"<3;1.20;0;0><5; 1.60;0.40;0.00><4; 2.00;0.40;0.00>"
85,1,2,1.14,18.50,0.06,1,17.36,1,1,1,1,15.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 1.2;18.3;18.5;,17.08;0.22;,"<1;1.20;0;0><5; 18.28;17.08;0.00><2; 18.50;0.22;0.00>"
86,2,1,1.14,1.50,0.06,1,0.36,1,1,1,1,30.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 1.2; 1.3; 1.5;,0.10;0.20;,"<2;1.20;0;0><5; 1.30;0.10;0.00><1; 1.50;0.20;0.00>"
