agent_id,from_zone_id,to_zone_id,departure_time,arrival_time,buffer_waiting_time,complete_flag,trip_time,demand_type,pricing_type,vehicle_type,information_type,value_of_time,toll_cost_in_dollar,emissions,distance_in_mile,TotalEnergy_(KJ),CO2_(g),NOX_(g),CO_(g),HC_(g),age,number_of_nodes,VMS_response_info,Evacuation_response_info,path_node_sequence,path_time_sequence,link_travel_time_sequence,path_sequence
0,1,2,0.06,17.40,0.04,1,17.34,1,1,1,1,30.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.1;17.2;17.4;,17.10;0.20;,"<1;0.10;0;0><5; 17.20;17.10;0.00><2; 17.40;0.20;0.00>"
1,4,3,0.06,0.40,0.04,1,0.34,1,1,1,1,15.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.1; 0.2; 0.4;,0.13;0.17;,"<4;0.10;0;0><5; 0.23;0.13;0.00><3; 0.40;0.17;0.00>"
2,3,4,0.06,1.60,0.04,1,1.54,1,1,2,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.1; 1.4; 1.6;,1.30;0.20;,"<3;0.10;0;0><5; 1.40;1.30;0.00><4; 1.60;0.20;0.00>"
3,2,1,0.06,0.40,0.04,1,0.34,1,1,1,1,15.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.1; 0.2; 0.4;,0.12;0.18;,"<2;0.10;0;0><5; 0.22;0.12;0.00><1; 0.40;0.18;0.00>"
4,1,2,0.12,17.50,-0.02,1,17.38,1,1,2,1,30.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.1;17.3;17.5;,17.16;0.24;,"<1;0.10;0;0><5; 17.26;17.16;0.00><2; 17.50;0.24;0.00>"
5,2,1,0.12,0.50,-0.02,1,0.38,1,1,1,1,1.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.1; 0.3; 0.5;,0.18;0.22;,"<2;0.10;0;0><5; 0.28;0.18;0.00><1; 0.50;0.22;0.00>"
6,4,3,0.12,0.50,-0.02,1,0.38,1,1,1,1,60.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.1; 0.3; 0.5;,0.19;0.21;,"<4;0.10;0;0><5; 0.29;0.19;0.00><3; 0.50;0.21;0.00>"
7,3,4,0.12,1.60,-0.02,1,1.48,1,1,1,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.1; 1.4; 1.6;,1.30;0.20;,"<3;0.10;0;0><5; 1.40;1.30;0.00><4; 1.60;0.20;0.00>"
8,1,2,0.18,18.20,0.02,1,18.02,1,1,1,1,10.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.2;18.0;18.2;,17.80;0.20;,"<1;0.20;0;0><5; 18.00;17.80;0.00><2; 18.20;0.20;0.00>"
9,3,4,0.18,1.60,0.02,1,1.42,1,1,1,1,20.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.2; 1.4; 1.6;,1.20;0.20;,"<3;0.20;0;0><5; 1.40;1.20;0.00><4; 1.60;0.20;0.00>"
10,4,3,0.18,0.60,0.02,1,0.42,1,1,2,1,15.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.2; 0.3; 0.6;,0.15;0.25;,"<4;0.20;0;0><5; 0.35;0.15;0.00><3; 0.60;0.25;0.00>"
11,2,1,0.18,0.50,0.02,1,0.32,1,1,1,1,10.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.2; 0.3; 0.5;,0.14;0.16;,"<2;0.20;0;0><5; 0.34;0.14;0.00><1; 0.50;0.16;0.00>"
12,1,2,0.24,18.20,0.06,1,17.96,1,1,1,1,20.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.3;18.0;18.2;,17.70;0.20;,"<1;0.30;0;0><5; 18.00;17.70;0.00><2; 18.20;0.20;0.00>"
13,3,4,0.24,1.70,0.06,1,1.46,1,1,1,1,5.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.3; 1.4; 1.7;,1.10;0.30;,"<3;0.30;0;0><5; 1.40;1.10;0.00><4; 1.70;0.30;0.00>"
14,4,3,0.24,0.60,0.06,1,0.36,1,1,1,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.3; 0.4; 0.6;,0.11;0.19;,"<4;0.30;0;0><5; 0.41;0.11;0.00><3; 0.60;0.19;0.00>"
15,2,1,0.24,0.60,0.06,1,0.36,1,1,2,1,30.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.3; 0.4; 0.6;,0.10;0.20;,"<2;0.30;0;0><5; 0.40;0.10;0.00><1; 0.60;0.20;0.00>"
16,3,2,0.30,1.60,0.00,1,1.30,1,1,1,1,30.00,0.000,0.000,0.197,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;2;, 0.3; 1.4; 1.6;,1.10;0.20;,"<3;0.30;0;0><5; 1.40;1.10;0.00><2; 1.60;0.20;0.00>"
17,1,3,0.30,18.20,0.00,1,17.90,1,1,2,1,10.00,0.000,0.000,10.102,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;3;, 0.3;18.0;18.2;,17.70;0.20;,"<1;0.30;0;0><5; 18.00;17.70;0.00><3; 18.20;0.20;0.00>"
18,4,1,0.30,0.70,0.00,1,0.40,1,1,1,1,30.00,0.000,0.000,0.193,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;1;, 0.3; 0.5; 0.7;,0.17;0.23;,"<4;0.30;0;0><5; 0.47;0.17;0.00><1; 0.70;0.23;0.00>"
19,2,4,0.30,0.70,0.00,1,0.40,1,1,1,1,20.00,0.000,0.000,0.193,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;4;, 0.3; 0.5; 0.7;,0.16;0.24;,"<2;0.30;0;0><5; 0.46;0.16;0.00><4; 0.70;0.24;0.00>"
20,1,2,0.30,18.20,0.00,1,17.90,1,1,1,1,30.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.3;18.0;18.2;,17.70;0.20;,"<1;0.30;0;0><5; 18.00;17.70;0.00><2; 18.20;0.20;0.00>"
21,4,3,0.30,0.70,0.00,1,0.40,1,1,1,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.3; 0.5; 0.7;,0.17;0.23;,"<4;0.30;0;0><5; 0.47;0.17;0.00><3; 0.70;0.23;0.00>"
22,3,4,0.30,1.70,0.00,1,1.40,1,1,1,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.3; 1.4; 1.7;,1.10;0.30;,"<3;0.30;0;0><5; 1.40;1.10;0.00><4; 1.70;0.30;0.00>"
23,2,1,0.30,0.70,0.00,1,0.40,1,1,2,1,30.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.3; 0.5; 0.7;,0.16;0.24;,"<2;0.30;0;0><5; 0.46;0.16;0.00><1; 0.70;0.24;0.00>"
24,1,2,0.36,18.20,0.04,1,17.84,1,1,1,1,10.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.4;18.0;18.2;,17.60;0.20;,"<1;0.40;0;0><5; 18.00;17.60;0.00><2; 18.20;0.20;0.00>"
25,3,4,0.36,1.70,0.04,1,1.34,1,1,1,1,20.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.4; 1.5; 1.7;,1.10;0.20;,"<3;0.40;0;0><5; 1.50;1.10;0.00><4; 1.70;0.20;0.00>"
26,2,1,0.36,0.70,0.04,1,0.34,1,1,2,1,1.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.4; 0.5; 0.7;,0.12;0.18;,"<2;0.40;0;0><5; 0.52;0.12;0.00><1; 0.70;0.18;0.00>"
27,4,3,0.36,0.70,0.04,1,0.34,1,1,2,1,10.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.4; 0.5; 0.7;,0.13;0.17;,"<4;0.40;0;0><5; 0.53;0.13;0.00><3; 0.70;0.17;0.00>"
28,3,4,0.42,1.70,-0.02,1,1.28,1,1,2,1,20.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,3;5;4;, 0.4; 1.5; 1.7;,1.10;0.20;,"<3;0.40;0;0><5; 1.50;1.10;0.00><4; 1.70;0.20;0.00>"
29,4,3,0.42,0.80,-0.02,1,0.38,1,1,1,1,30.00,0.000,0.000,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,4;5;3;, 0.4; 0.6; 0.8;,0.19;0.21;,"<4;0.40;0;0><5; 0.59;0.19;0.00><3; 0.80;0.21;0.00>"
30,1,2,0.42,18.30,-0.02,1,17.88,1,1,2,1,5.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.4;18.0;18.3;,17.60;0.30;,"<1;0.40;0;0><5; 18.00;17.60;0.00><2; 18.30;0.30;0.00>"
31,2,1,0.42,0.80,-0.02,1,0.38,1,1,1,1,10.00,0.000,0.000,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,2;5;1;, 0.4; 0.6; 0.8;,0.18;0.22;,"<2;0.40;0;0><5; 0.58;0.18;0.00><1; 0.80;0.22;0.00>"
32,1,2,0.48,18.30,0.02,1,17.82,1,1,1,1,1.00,0.000,0.000,10.095,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,,,1;5;2;, 0.5;18.0;18.3;,17.50;0.30;,"<1;0.50;0;0><5; 18.00;17.50;0.00><2; 18.30;0.30;0.00>"
