from_zone_id,to_zone_id,number_of_agents,number_of_agents_completing_trips,trip_time_in_min,distance
1,2,67,67,5.84916,1.87961
1,3,65,65,15.0554,2.9494
1,4,1,1,25.3599,4.0067
1,5,11,11,22.6876,4.7171
1,6,14,14,23.4352,5.0912
1,7,12,12,22.2778,5.35818
1,8,3,3,28.1166,6.09065
1,9,61,61,31.363,5.74496
1,10,6,6,32.4713,5.61813
1,11,58,58,20.5274,5.31995
1,12,1,1,10.0007,2.95315
1,13,32,32,6.13917,2.85309
1,14,74,74,4.70179,2.28772
1,15,40,40,4.3277,2.08137
1,16,26,26,2.4436,0.90448
1,17,32,32,2.32899,0.956
1,18,43,43,2.56721,0.9039
1,19,30,30,22.3724,4.37437
1,20,20,20,22.611,4.7965
1,21,50,50,26.7651,6.30305
1,22,17,17,28.3495,5.46887
1,23,13,13,31.4932,5.6859
1,24,39,39,10.6984,4.00425
1,25,9,9,19.0928,3.72678
1,26,25,25,15.1754,2.98956
1,27,11,11,15.2828,3.27508
1,28,15,15,21.929,4.60992
1,30,5,5,27.0736,4.78417
1,31,64,64,12.9625,1.7174
1,32,43,43,2.34783,0.9323
1,33,8,8,20.7692,4.303
1,34,106,106,12.3226,1.56273
1,35,6,6,3.90277,1.35826
1,36,12,12,4.90052,2.17796
1,37,20,20,17.0607,3.1803
1,38,17,17,23.2244,5.2764
1,39,6,6,30.2049,5.58783
1,41,88,88,1.95,0.6245
2,1,42,42,9.43277,1.4541
2,3,28,28,10.1225,2.12641
2,4,1,1,13.2439,3.077
2,5,9,9,18.7105,4.4514
2,6,7,7,14.2626,4.1615
2,7,11,11,19.1145,4.4675
2,8,1,1,23.5427,5.5724
2,9,32,32,24.0163,5.32889
2,10,8,8,21.4138,5.0579
2,11,81,81,22.3837,4.87676
2,12,9,9,4.75385,2.2962
2,13,90,90,4.16636,2.19614
2,14,41,41,5.89269,2.82317
2,15,15,15,5.51767,2.61682
2,16,40,40,7.55369,1.90996
2,17,44,44,9.25415,1.0223
2,18,40,40,10.8543,1.984
2,19,25,25,18.711,3.67486
2,20,13,13,15.4273,3.87434
2,21,27,27,19.7116,5.39338
2,22,18,18,24.3184,4.74845
2,23,9,9,23.1267,5.05798
2,24,35,35,14.5092,3.98143
2,25,4,4,16.9533,2.8009
2,26,16,16,12.0775,2.07765
2,27,7,7,11.2123,2.2629
2,28,17,17,21.7033,4.53917
2,30,5,5,21.0505,4.31754
2,31,51,51,3.65529,1.10781
2,32,36,36,8.73586,0.9986
2,33,5,5,16.8945,4.1701
2,34,79,79,3.2096,0.769035
2,35,8,8,3.13192,1.5187
2,36,8,8,5.18707,2.33937
2,37,16,16,13.9556,2.44553
2,38,13,13,18.3157,4.3467
2,39,4,4,19.2601,4.61768
2,40,7,7,4.3956,2.1278
2,41,175,175,9.91886,1.7046
3,1,29,29,34.0923,3.19616
3,2,25,25,28.6664,2.29087
3,4,4,4,17.7676,1.5699
3,5,32,32,19.7335,2.2803
3,6,43,43,20.8577,2.6544
3,7,30,30,21.7952,2.9569
3,8,5,5,28.8584,3.66385
3,9,101,101,25.8261,3.66198
3,10,11,11,26.2367,3.3695
3,11,179,179,25.4522,2.71764
3,12,5,5,33.6277,3.74219
3,13,81,81,28.6972,3.57811
3,14,110,110,29.9889,4.15794
3,15,31,31,30.7421,3.9828
3,16,38,38,28.1431,3.17352
3,17,28,28,32.5686,2.59831
